species,status,level
acholeplasma_laidlawii,ok,Contig
achromobacter_xylosoxidans,ok,Contig
acidovorax_citrulli,ok,Contig
acinetobacter_baumannii,ok,Contig
acinetobacter_johnsonii,ok,Contig
acinetobacter_pittii,ok,Contig
acinetobacter_soli,ok,Contig
actinomyces_naeslundii,ok,Contig
aeromonas_hydrophila,ok,Contig
aeromonas_media,ok,Contig
aeromonas_salmonicida,ok,Contig
aggregatibacter_actinomycetemcomitans,ok,Contig
agrobacterium_tumefaciens,ok,Contig
aliivibrio fischeri,ok,Contig
aliivibrio fischeri es114,ok,Contig
alteromonas_macleodii,ok,Contig
alteromonas_marina,ok,Contig
anabaena_spirioides,no_taxon,
anabaena_variabilis,ok,Contig
azospirillum_brasilense,ok,Contig
bacillus_alcalophilus,ok,Contig
bacillus_anthracis,ok,Contig
bacillus_borstelensis,ok,Contig
bacillus_cereus,ok,Contig
bacillus_clarkii,ok,Contig
bacillus_halmapalus,ok,Contig
bacillus_licheniformis,ok,Contig
bacillus_megaterium,ok,Contig
bacillus_psychrosaccharolyticus,ok,Contig
bacillus_pumilus,ok,Contig
bacillus_sphaericus,ok,Contig
bacillus_subtilis,ok,Contig
bacillus_thuringiensis,ok,Contig
bacillus_weihenstephanensis,ok,Contig
bacteroides_fragilis,ok,Contig
bdellovibrio_bacteriovorus,ok,Contig
bordetella_bronchiseptica,ok,Contig
brevibacillus_brevis,ok,Contig
brevibacillus_laterosporus,ok,Contig
brochothrix_thermosphacta,ok,Contig
brucella_abortus,ok,Contig
brucella_canis,ok,Contig
brucella_ceti,ok,Contig
brucella_inopinata,ok,Contig
brucella_melitensis,ok,Contig
brucella_microti,ok,Contig
brucella_neotomae,ok,Contig
brucella_ovis,ok,Contig
brucella_pinnipedialis,ok,Contig
brucella_suis,ok,Contig
brucella_vulpis,ok,Contig
burkholderia_ambifaria,ok,Contig
burkholderia_cenocepacia,ok,Contig
burkholderia_cepacia,ok,Contig
burkholderia_pseudomallei,ok,Contig
burkholderia_pyrrocinia,ok,Contig
burkholderia_thailandensis,ok,Contig
campylobacter_coli,ok,Contig
campylobacter_jejuni,ok,Contig
caulobacter_crescentus,ok,Contig
cellulophaga_baltica,ok,Contig
chlamydia_psittaci,ok,Contig
chlamydia_trachomatis,ok,Contig
chlamydophila_abortus,ok,Contig
chlamydophila_pneumoniae,ok,Contig
citrobacter_freundii,ok,Contig
citrobacter_rodentium,ok,Contig
clavibacter_michiganensis,ok,Contig
clostridium_botulinum,ok,Contig
clostridium_difficile,no_taxon,
clostridium_perfringens,ok,Contig
clostridium_sporogenes,ok,Contig
clostridium_tetani,ok,Contig
colwellia_psychrerythaea,no_taxon,
corynebacterium_glutamicum,ok,Contig
corynebacterium_vitaeruminis,ok,Contig
croceibacter_atlanticus,ok,Contig
cronobacter_dublinensis,ok,Contig
cronobacter_malonaticus,ok,Contig
cronobacter_sakazakii,ok,Contig
cronobacter_turicensis,ok,Contig
cronobacter_universalis,ok,Contig
delftia_acidovorans,ok,Contig
delftia_tsuruhatensis,ok,Contig
dickeya_chrysanthemi,ok,Contig
dickeya_dadantii,ok,Contig
dickeya_dianthicola,ok,Contig
dickeya_dieffenbachiae,ok,Contig
dickeya_solani,ok,Contig
dickeya_zeae,ok,Contig
dinoroseobacter_shibae,ok,Contig
edwardsiella_ictaluri,ok,Contig
enterobacter_aerogenes,ok,Contig
enterobacter_agglomerans,ok,Contig
enterobacter_cancerogenus,ok,Contig
enterobacter_cloacae,ok,Contig
enterobacter_sakazakii,ok,Contig
enterococcus_faecalis,ok,Contig
enterococcus_faecium,ok,Contig
enterovibrio norvegicus,ok,Contig
erwinia_amylovora,ok,Contig
erwinia_billingiae,ok,Contig
erwinia_persicina,ok,Contig
erwinia_pyrifoliae,ok,Contig
erysipelothrix_rhusiopathiae,ok,Contig
erythrobacter_litoralis,ok,Contig
erythrobacter_longus,ok,Contig
escherichia_coli,ok,Contig
flavobacterium_columnare,ok,Contig
flavobacterium_psychrophilum,ok,Contig
fusobacterium_nucleatum,ok,Contig
geobacillus_kaustophilus,ok,Contig
geobacillus_stearothermophilus,ok,Contig
gluconobacter_cerinus,ok,Contig
gluconobacter_oxydans,ok,Contig
gordonia_alkanivorans,ok,Contig
gordonia_malaquae,ok,Contig
gordonia_neofelifaecis,ok,Contig
gordonia_sputi,ok,Contig
gordonia_terrae,ok,Contig
haemophilus_influenzae,ok,Contig
haemophilus_parasuis,ok,Contig
halomonas_aquamarina,ok,Contig
helicobacter_pylori,ok,Contig
idiomarina_fontislapidosi,ok,Contig
idiomarina_loihiensis,ok,Contig
janthinobacterium_lividum,ok,Contig
klebsiella_oxytoca,ok,Contig
klebsiella_pneumoniae,ok,Contig
kocuria_rosea,ok,Contig
lactobacillus_brevis,ok,Contig
lactobacillus_casei,ok,Contig
lactobacillus_coryniformis,ok,Contig
lactobacillus_crispatus,ok,Contig
lactobacillus_curvatus,ok,Contig
lactobacillus_delbrueckii,ok,Contig
lactobacillus_fermentum,ok,Contig
lactobacillus_fructivorans,ok,Contig
lactobacillus_fructosus,ok,Contig
lactobacillus_gasseri,ok,Contig
lactobacillus_hilgardii,no_taxon,
lactobacillus_jensenii,ok,Contig
lactobacillus_johnsonii,ok,Contig
lactobacillus_mali,ok,Contig
lactobacillus_paracasei,ok,Contig
lactobacillus_paraplantarum,ok,Contig
lactobacillus_pentosaceus,no_taxon,
lactobacillus_plantarum,no_taxon,
lactobacillus_reuteri,ok,Contig
lactobacillus_rhamnosus,ok,Contig
lactobacillus_salivarius,ok,Contig
lactococcus_garvieae,ok,Contig
lactococcus_lactis,ok,Contig
leptolyngbya_foveolarum,ok,Contig
leuconostoc_fallax,ok,Contig
leuconostoc_lactis,ok,Contig
leuconostoc_mesenteroides,ok,Contig
leuconostoc_paramesenteroides,ok,Contig
leuconostoc_pseudomesenteroides,ok,Contig
listeria_innocua,ok,Contig
listeria_ivanovii,ok,Contig
listeria_monocytogenes,ok,Contig
mannheimia_haemolytica,ok,Contig
mesorhizobium_loti,ok,Contig
microbacterium_foliorum,ok,Contig
microbacterium_oxydans,ok,Contig
microcystis_aeruginosa,ok,Contig
morganella_morganii,ok,Contig
mycobacterium_abscessus,ok,Contig
mycobacterium_avium,ok,Contig
mycobacterium_phlei,ok,Contig
mycobacterium_smegmatis,no_taxon,
mycobacterium_tuberculosis,ok,Contig
mycoplasma_arthritidis,no_taxon,
mycoplasma_pulmonis,no_taxon,
myxococcus_xanthus,ok,Contig
natrialba_magadii,ok,Contig
nocardia_brasiliensis,ok,Contig
nocardia_otitidiscaviarum,ok,Contig
nostoc_linckia,ok,Contig
paenibacillus_alvei,ok,Contig
paenibacillus_amylolyticus,ok,Contig
paenibacillus_apiarius,ok,Contig
paenibacillus_castaneae,ok,Contig
paenibacillus_elgii,ok,Contig
paenibacillus_fonticola,ok,Contig
paenibacillus_glucanolyticus,ok,Contig
paenibacillus_humicus,ok,Contig
paenibacillus_lactis,ok,Contig
paenibacillus_larvae,ok,Contig
paenibacillus_lautus,ok,Contig
paenibacillus_nanensis,ok,Contig
paenibacillus_pabuli,ok,Contig
paenibacillus_peoriae,ok,Contig
paenibacillus_polymyxa,ok,Contig
paenibacillus_popilliae,ok,Contig
pantoea_agglomerans,ok,Contig
pantoea_ananatis,ok,Contig
parabacteroides_distasonis,ok,Contig
parabacteroides_merdae,ok,Contig
paracoccus_denitrificans,ok,Contig
paracoccus_marcusii,ok,Contig
pasteurella_multocida,ok,Contig
pectobacterium_atrosepticum,ok,Contig
pectobacterium_carotovorum,ok,Contig
pediococcus_dextrinicus,no_taxon,
pediococcus_pentosaceus,ok,Contig
