genus,gram_pos,aerobic,anaerobic,facultative,coccus,bacillus,spiral,motile,phylum_firmicutes,phylum_proteobacteria,phylum_actinobacteria,phylum_bacteroidetes,phylum_cyanobacteria,phylum_chlamydiae
staphylococcus,1,0,0,1,1,0,0,0,1,0,0,0,0,0
bacillus,1,1,0,1,0,1,0,0,1,0,0,0,0,0
listeria,1,0,0,1,0,1,0,1,1,0,0,0,0,0
enterococcus,1,0,0,1,1,0,0,0,1,0,0,0,0,0
streptococcus,1,0,0,1,1,0,0,0,1,0,0,0,0,0
lactococcus,1,0,0,1,1,0,0,0,1,0,0,0,0,0
lactobacillus,1,0,0,1,0,1,0,0,1,0,0,0,0,0
clostridium,1,0,1,0,0,1,0,0,1,0,0,0,0,0
paenibacillus,1,0,0,1,0,1,0,1,1,0,0,0,0,0
brevibacillus,1,1,0,0,0,1,0,1,1,0,0,0,0,0
leuconostoc,1,0,0,1,1,0,0,0,1,0,0,0,0,0
mycobacterium,1,1,0,0,0,1,0,0,0,0,1,0,0,0
streptomyces,1,1,0,0,0,1,0,0,0,0,1,0,0,0
corynebacterium,1,0,0,1,0,1,0,0,0,0,1,0,0,0
gordonia,1,1,0,0,0,1,0,0,0,0,1,0,0,0
rhodococcus,1,1,0,0,0,1,0,0,0,0,1,0,0,0
nocardia,1,1,0,0,0,1,0,0,0,0,1,0,0,0
escherichia,0,0,0,1,0,1,0,1,0,1,0,0,0,0
salmonella,0,0,0,1,0,1,0,1,0,1,0,0,0,0
klebsiella,0,0,0,1,0,1,0,0,0,1,0,0,0,0
pseudomonas,0,1,0,0,0,1,0,1,0,1,0,0,0,0
vibrio,0,0,0,1,0,1,0,1,0,1,0,0,0,0
acinetobacter,0,1,0,0,1,1,0,0,0,1,0,0,0,0
shigella,0,0,0,1,0,1,0,0,0,1,0,0,0,0
enterobacter,0,0,0,1,0,1,0,1,0,1,0,0,0,0
serratia,0,0,0,1,0,1,0,1,0,1,0,0,0,0
citrobacter,0,0,0,1,0,1,0,1,0,1,0,0,0,0
proteus,0,0,0,1,0,1,0,1,0,1,0,0,0,0
yersinia,0,0,0,1,0,1,0,0,0,1,0,0,0,0
cronobacter,0,0,0,1,0,1,0,1,0,1,0,0,0,0
pantoea,0,0,0,1,0,1,0,1,0,1,0,0,0,0
erwinia,0,0,0,1,0,1,0,1,0,1,0,0,0,0
dickeya,0,0,0,1,0,1,0,1,0,1,0,0,0,0
aeromonas,0,0,0,1,0,1,0,1,0,1,0,0,0,0
burkholderia,0,1,0,0,0,1,0,1,0,1,0,0,0,0
ralstonia,0,1,0,0,0,1,0,1,0,1,0,0,0,0
achromobacter,0,1,0,0,0,1,0,1,0,1,0,0,0,0
delftia,0,1,0,0,0,1,0,1,0,1,0,0,0,0
pseudoalteromonas,0,1,0,0,0,1,0,1,0,1,0,0,0,0
shewanella,0,0,0,1,0,1,0,1,0,1,0,0,0,0
alteromonas,0,1,0,0,0,1,0,1,0,1,0,0,0,0
enterovibrio,0,0,0,1,0,1,0,1,0,1,0,0,0,0
campylobacter,0,0,0,1,0,0,1,1,0,1,0,0,0,0
brucella,0,1,0,0,1,0,0,0,0,1,0,0,0,0
rhodobacter,0,0,0,1,1,0,0,1,0,1,0,0,0,0
roseobacter,0,1,0,0,1,0,0,0,0,1,0,0,0,0
rhizobium,0,1,0,0,0,1,0,1,0,1,0,0,0,0
sinorhizobium,0,1,0,0,0,1,0,1,0,1,0,0,0,0
paracoccus,0,1,0,0,1,0,0,0,0,1,0,0,0,0
gluconobacter,0,1,0,0,1,0,0,0,0,1,0,0,0,0
bacteroides,0,0,1,0,0,1,0,0,0,0,0,1,0,0
anabaena,0,1,0,0,0,1,0,1,0,0,0,0,1,0
chlamydia,0,0,0,1,1,0,0,0,0,0,0,0,0,1
