phage_id	phage_def	host	flag	phage_organism	phage_kingdom	phage_phylum	phage_class	phage_order	phage_family	phage_genus	phage_species	host_kingdom	host_phylum	host_class	host_order	host_family	host_genus	host_species
JF974294	Aeromonas phage pIS4-A	Aeromonas sp. IS4	validate2	Aeromonas phage pIS4-A	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Roufvirus	Aeromonas virus pIS4A	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. ASNIH4
JN377895	Aeromonas phage Aes012	Aeromonas sp.	validate2	Aeromonas phage Aes012	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Tulanevirus	Aeromonas virus Aes12	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. ASNIH4
JQ312117	Agrobacterium phage 7-7-1	Agrobacterium sp. H13-3	validate2	Agrobacterium phage 7-7-1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Schmittlotzvirus	Agrobacterium virus 7-7-1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium	Agrobacterium sp. 33MFTa1.1
NC_021068	Vibrio phage douglas 12A4	Vibrio fischeri	validate1	Vibrio phage douglas 12A4	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Vibrio phage douglas 12A4	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio fischeri
HQ316580	Vibrio phage douglas 12A4	Vibrio fischeri 12A4	validate2	Vibrio phage douglas 12A4	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Vibrio phage douglas 12A4	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio fischeri
KM879463	Arthrobacter phage vB_ArtM-ArV1	Arthrobacter sp.	validate2	Arthrobacter phage vB_ArtM-ArV1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Radnorvirus	Arthrobacter virus ArV1	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. FB24
KF692088	Arthrobacter phage vB_ArS-ArV2	Arthrobacter sp.	validate2	Arthrobacter phage vB_ArS-ArV2	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Arthrobacter phage vB_ArS-ArV2	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. FB24
KF582788	Escherichia phage vB_EcoM_JS09	avian pathogenic Escherichia coli and genetically engineered Escherichia coli B and K strain	validate2	Escherichia phage vB_EcoM_JS09	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Mosigvirus	Escherichia virus JS09	NA	NA	NA	NA	NA	avian	avian pathogenic
KF208639	Bacillus phage Troll	Bacilluls thuringiensis kurstaki	validate2	Bacillus phage Troll	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Bequatrovirus	Bacillus virus Troll	NA	NA	NA	NA	NA	bacilluls	bacilluls thuringiensis
DQ840344	Bacillus virus 1	Bacillus sp. 6k512	validate2	Bacillus virus 1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Svunavirus	Bacillus virus 1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. H15-1
