accession,strain
NC_007055,Staphylococcus aureus
NC_002362,Vibrio parahaemolyticus
NC_019421,Clostridium difficile
NC_028773,Cronobacter sakazakii ATCC 29544
NC_001604,Escherichia coli
MG592565,Vibrio lentus
NC_012419,Enterococcus faecalis
NC_041935,Escherichia coli PA28
NC_041953,Pseudomonas aeruginosa
MG592645,Vibrio lentus
MG592494,Vibrio lentus
NC_005258,Bacillus thuringiensis
NC_011344,Staphylococcus aureus
MG592621,Vibrio splendidus
MG592561,Vibrio splendidus
MG592435,Enterovibrio norvegicus
MG592631,Vibrio breoganii
NC_027981,Vibrio parahaemolyticus
NC_028919,Pseudomonas aeruginosa PAO1
NC_028896,Escherichia coli DE048
NC_021863,Staphylococcus aureus
NC_028977,Klebsiella pneumoniae
NC_021062,Pseudomonas fluorescens
NC_042097,Salmonella enterica subsp. enterica serovar Shubra
MG592579,Vibrio breoganii
NC_011040,Escherichia coli
NC_028698,Salmonella enterica subsp. enteritidis
MG592423,Vibrio lentus
NC_027394,Bacillus megaterium
NC_007062,Staphylococcus aureus
NC_002670,Lactococcus lactis subsp. lactis Il1403
MG592623,Vibrio splendidus
NC_020477,Bacillus pumilus BL8
NC_011166,Pseudomonas aeruginosa
MG592546,Vibrio splendidus
NC_041837,Bacillus subtilis G24
NC_016764,Pseudomonas tolaasii LMG 2342
NC_010147,Staphylococcus aureus
MG592483,Vibrio breoganii
NC_028894,Escherichia coli
NC_028768,Achromobacter xylosoxidans
NC_019529,Vibrio parahaemolyticus ATCC 33844
MG592544,Vibrio sp. F12
MG592498,Enterovibrio norvegicus
NC_029048,Clostridium difficile
NC_031117,Acinetobacter baumannii
MG592552,Vibrio cyclitrophicus
NC_013647,Klebsiella pneumoniae
MG592471,Vibrio lentus
NC_027984,Escherichia coli O157:H7
NC_028927,Escherichia coli
NC_027372,Bacillus megaterium
MG592563,Vibrio lentus
MG592460,Vibrio breoganii
NC_024137,Bacillus cereus
NC_027368,Vibrio vulnificus
MG592618,Vibrio lentus
NC_019915,Staphylococcus capitis
NC_028997,Escherichia coli K-12 MG1655
NC_028764,Clostridium difficile
NC_019505,Escherichia coli
MG592587,Vibrio sp. sp. F13
NC_024380,Leuconostoc pseudomesenteroides LN02
NC_028671,Enterococcus faecalis
NC_010106,Escherichia coli
NC_018846,"Escherichia coli CB13374, serotype O104:H4"
NC_041842,Bacillus subtilis G24
NC_025822,Vibrio alginolyticus
NC_019422,Clostridium difficile
NC_010808,Staphylococcus aureus
NC_028679,Acinetobacter baumannii
NC_041904,Pseudomonas aeruginosa PAO1
NC_020204,Klebsiella pneumoniae JDM777
NC_011810,Pseudomonas aeruginosa
NC_020490,Staphylococcus hominis
NC_041900,Klebsiella pneumoniae
NC_027345,Pseudomonas aeruginosa PAO1
MG592463,Vibrio lentus
NC_015270,Enterococcus faecalis
NC_011614,Staphylococcus aureus
NC_019500,Escherichia coli O78.A
NC_041980,Enterobacter aerogenes
NC_010326,Pseudomonas aeruginosa PAO1
MG592529,Vibrio lentus
MG592536,Vibrio breoganii
NC_031940,Salmonella enterica
NC_004066,Lactococcus lactis
MG592467,Vibrio sp. F12
NC_027293,Citrobacter freundii
NC_028826,Enterococcus faecium
NC_005880,Staphylococcus aureus
NC_042005,Acinetobacter baumannii
NC_024123,Pseudomonas aeruginosa
NC_025451,Yersinia enterocolitica serotype O:3
NC_031091,Pseudomonas aeruginosa
NC_031098,Acinetobacter baumannii A118
NC_029106,Achromobacter xylosoxidans
NC_013638,Pseudomonas fluorescens SBW25
NC_028856,Bacillus megaterium Km Sp-
NC_005822,Lactococcus lactis subsp. cremoris
NC_031064,Lactococcus lactis SMQ-86
NC_028881,Escherichia coli
NC_019398,Cronobacter sakazakii
MG592501,Vibrio lentus
MG592443,Vibrio lentus
NC_029025,Staphylococcus haemolyticus
NC_015568,Clostridium difficile
NC_027332,Acinetobacter baumannii YMC13/03/R2096
MG592533,Vibrio lentus
NC_009514,Escherichia coli
NC_013649,Klebsiella pneumoniae
MG592657,Vibrio cyclitrophicus
NC_042084,Escherichia coli 333
NC_019504,Erwinia amylovora
MG592658,Vibrio cyclitrophicus
NC_030940,Pseudomonas aeruginosa WH-SGI-V-07174
NC_042072,Pseudomonas aeruginosa PAO1R
NC_007054,Staphylococcus aureus
MG592445,Vibrio lentus
MG592610,Vibrio breoganii
NC_031047,Escherichia coli O157:H7 ATCC 43890
NC_028848,Acinetobacter baumannii 28
MG592490,Vibrio breoganii
NC_028657,Pseudomonas aeruginosa YMC11/02/R656
MG592597,Vibrio breoganii
NC_002014,Escherichia coli
MG592487,Vibrio splendidus
NC_029057,Vibrio parahaemolyticus ATCC 17802
NC_029003,Salmonella enterica subsp. salamae 10/99 II
MG592541,Vibrio lentus
NC_028695,Enterobacter aerogenes 3-SP
NC_024208,Lactococcus lactis
MG592599,Vibrio lentus
NC_042043,Escherichia coli BL21
NC_042024,Lactococcus lactis subsp. cremoris MG1363
MG592532,Vibrio breoganii
MG592534,Vibrio breoganii
NC_003288,Staphylococcus aureus E-1
NC_013152,Lactococcus lactis SMQ-404
NC_028925,Escherichia coli
MG592614,Vibrio cyclitrophicus
NC_024386,Leuconostoc mesenteroides LN25
MG592418,Vibrio breoganii
NC_007808,Pseudomonas aeruginosa
MG592601,Vibrio lentus
NC_028247,Citrobacter freundii
NC_013594,Escherichia coli
NC_023570,Acinetobacter baumannii AU0783
NC_014636,Aeromonas salmonicida
MG592574,Vibrio cyclitrophicus
NC_015264,Pseudomonas fluorescens
NC_019506,Clostridium perfringens
NC_028817,Pseudomonas aeruginosa PAK
NC_041839,Bacillus subtilis G24
NC_027352,Bacillus cereus ATCC 14579
NC_005091,Burkholderia cepacia
NC_042048,Listeria monocytogenes
NC_022096,Pseudomonas aeruginosa PAO1
NC_031087,Klebsiella pneumoniae KPB463
NC_009811,Listeria monocytogenes
NC_028808,Escherichia coli MG1655
NC_002363,Vibrio parahaemolyticus O4:K68
NC_025437,Shigella flexneri ATCC 2587
NC_019401,Cronobacter sakazakii
NC_029009,Enterococcus faecalis
NC_028931,Pseudomonas aeruginosa
NC_023863,Vibrio anguillarum PF4
NC_024390,Leuconostoc pseudomesenteroides LN02
NC_007053,Staphylococcus aureus
NC_041914,Acinetobacter baumannii 1432
NC_029120,Shigella sonnei 75/02
MG592515,Vibrio splendidus
NC_031246,Klebsiella pneumoniae B-7850
MG592596,Vibrio tasmaniensis
NC_019419,Escherichia coli O157:H7
NC_020870,Leuconostoc pseudomesenteroides LN02
MG592488,Vibrio breoganii
NC_027399,Klebsiella pneumoniae
MG592451,Vibrio sp. F12
NC_028903,Escherichia coli 172
MG592641,Vibrio cyclitrophicus
MG592650,Vibrio lentus
MG592588,Vibrio sp.
NC_022749,Shigella flexneri serotype 4av
NC_001835,Lactococcus lactis
MG592562,Vibrio splendidus
NC_028971,Pseudomonas aeruginosa PAO1
MG592648,Vibrio lentus
NC_002661,Staphylococcus aureus
NC_006548,Pseudomonas aeruginosa PAO1 (ATCC 15692)
NC_028776,Escherichia coli K12 MG1655
MG592560,Vibrio lentus
MG592503,Vibrio breoganii
NC_013644,Enterococcus faecalis
NC_042057,Escherichia coli BL21(DE3)
MG592465,Vibrio lentus
MG592461,Vibrio splendidus
MG592667,Vibrio breoganii
NC_042078,Shigella flexneri
NC_028667,Pseudomonas aeruginosa
MG592410,Vibrio splendidus
MG592672,Vibrio lentus
NC_008720,Escherichia coli
NC_031056,Bacillus cereus BtB2-4
NC_031039,Bacillus subtilis subsp. subtilis 168
NC_018085,Bacillus thuringiensis
MG592390,Vibrio lentus
NC_009821,Escherichia coli K-12 (F+)
NC_041915,Acinetobacter baumannii 28
MG592643,Vibrio cyclitrophicus
MG592422,Vibrio lentus
NC_021316,Acinetobacter baumannii
MG592571,Vibrio lentus
NC_017980,Clostridium perfringens
NC_007064,Staphylococcus aureus
