phage,host,accession,cluster,subcluster,label,source
20es,mycobacterium smegmatis,KJ410132,,,1,phagesdb
244,mycobacterium smegmatis,DQ398041,,,1,phagesdb
32hc,mycobacterium smegmatis,KJ028219,,,1,phagesdb
39hc,mycobacterium smegmatis,KJ433973,,,1,phagesdb
40ac,mycobacterium smegmatis,KJ192196,,,1,phagesdb
40bc,mycobacterium smegmatis,KJ433975,,,1,phagesdb
a3wally,microbacterium foliorum,MZ150783,,,1,phagesdb
aamer,streptomyces venezuelae,,,,1,phagesdb
aami,mycobacterium smegmatis,,,,1,phagesdb
aang,gordonia rubripertincta,,,,1,phagesdb
aangyi,mycobacterium smegmatis,,,,1,phagesdb
aanvaller,gordonia terrae,,,,1,phagesdb
aaravos,gordonia rubripertincta,,,,1,phagesdb
aardvarkarthur,mycobacterium smegmatis,,,,1,phagesdb
aaron,mycobacterium smegmatis,,,,1,phagesdb
aaron12,mycobacterium smegmatis,,,,1,phagesdb
aarond97,gordonia rubripertincta,,,,1,phagesdb
aaronocolus,streptomyces griseus,KT124227,,,1,phagesdb
aaronpopp,microbacterium paraoxydans,,,,1,phagesdb
abadan,mycobacterium smegmatis,,,,1,phagesdb
abakes,mycobacterium smegmatis,,,,1,phagesdb
abaris,mycobacterium smegmatis,,,,1,phagesdb
abax,mycobacterium smegmatis,,,,1,phagesdb
abba,arthrobacter globiformis,MT024868,,,1,phagesdb
abbadabba,mycobacterium smegmatis,,,,1,phagesdb
abbethrown,streptomyces griseus,,,,1,phagesdb
abbeymikolon,streptomyces lividans,MG593800,,,1,phagesdb
abbica,arthrobacter globiformis,,,,1,phagesdb
abbie,mycobacterium smegmatis,,,,1,phagesdb
abbisawwa,arthrobacter globiformis,,,,1,phagesdb
abblin,gordonia terrae,,,,1,phagesdb
abbydaisy,arthrobacter globiformis,OR613473,,,1,phagesdb
abbynormal,mycobacterium smegmatis,,,,1,phagesdb
abbypaige,mycobacterium smegmatis,MH077576,,,1,phagesdb
abbyshoes,mycobacterium smegmatis,OL455898,,,1,phagesdb
abbysranger,mycobacterium smegmatis,MN284905,,,1,phagesdb
abc123,mycobacterium smegmatis,,,,1,phagesdb
abcat,mycobacterium smegmatis,KF188414,,,1,phagesdb
abdere,mycobacterium smegmatis,,,,1,phagesdb
abdiel,mycobacterium smegmatis,KY083058,,,1,phagesdb
abe1,mycobacterium smegmatis,,,,1,phagesdb
abed,mycobacterium smegmatis,,,,1,phagesdb
abejor,arthrobacter globiformis,,,,1,phagesdb
abel,arthrobacter globiformis,,,,1,phagesdb
abella,mycobacterium smegmatis,,,,1,phagesdb
abena,mycobacterium smegmatis,,,,1,phagesdb
abenna,gordonia terrae,,,,1,phagesdb
abenzki,arthrobacter sp.,,,,1,phagesdb
aberdeen,microbacterium foliorum,,,,1,phagesdb
aberry,streptomyces lividans,,,,1,phagesdb
aberto01,arthrobacter sp.,,,,1,phagesdb
abhi715,gordonia terrae,,,,1,phagesdb
abhianna,streptomyces mirabilis,,,,1,phagesdb
abidatro,arthrobacter sp.,MF140397,,,1,phagesdb
abiejabie,microbacterium foliorum,,,,1,phagesdb
abigail,microbacterium foliorum,MZ322012,,,1,phagesdb
abihanty,microbacterium foliorum,,,,1,phagesdb
abiheeee,mycobacterium smegmatis,,,,1,phagesdb
abijah,mycobacterium smegmatis,,,,1,phagesdb
abilicious4,mycobacterium smegmatis,,,,1,phagesdb
abinghost,mycobacterium smegmatis,MN444873,,,1,phagesdb
abiodun16,mycobacterium smegmatis,,,,1,phagesdb
abiss1,mycobacterium smegmatis,,,,1,phagesdb
abizeth,arthrobacter globiformis,,,,1,phagesdb
ablatia,mycobacterium smegmatis,PV940996,,,1,phagesdb
abner,mycobacterium smegmatis,,,,1,phagesdb
aboli,mycobacterium smegmatis,,,,1,phagesdb
abovethelaw,streptomyces scabiei,,,,1,phagesdb
abra,gordonia terrae,,,,1,phagesdb
abracadabra,gordonia rubripertincta,,,,1,phagesdb
abraham,mycobacterium smegmatis,,,,1,phagesdb
abramodiosky,microbacterium foliorum,,,,1,phagesdb
abrar,mycobacterium smegmatis,,,,1,phagesdb
abrisda,microbacterium paraoxydans,,,,1,phagesdb
abrogate,mycobacterium smegmatis,KM597531,,,1,phagesdb
abscondus,gordonia terrae,PV251872,,,1,phagesdb
absol,gordonia rubripertincta,,,,1,phagesdb
absolem,gordonia terrae,,,,1,phagesdb
absolutemadlad,mycobacterium smegmatis,MN096366,,,1,phagesdb
absoluteunit,microbacterium foliorum,,,,1,phagesdb
abstergo1007,mycobacterium smegmatis,,,,1,phagesdb
absurd,arthrobacter sp.,,,,1,phagesdb
abt2graduatex2,streptomyces griseus,MF975638,,,1,phagesdb
abu,mycobacterium smegmatis,JF704091,,,1,phagesdb
abu1,mycobacterium smegmatis,,,,1,phagesdb
abunchie,mycobacterium smegmatis,,,,1,phagesdb
abundantia,streptomyces griseus,,,,1,phagesdb
aburkhardt,arthrobacter globiformis,,,,1,phagesdb
abyss,microbacterium foliorum,,,,1,phagesdb
acacius,microbacterium foliorum,,,,1,phagesdb
academicweapon,microbacterium foliorum,,,,1,phagesdb
acadia,gordonia terrae,,,,1,phagesdb
acadian,mycobacterium smegmatis,JN699007,,,1,phagesdb
acai,arthrobacter sp.,,,,1,phagesdb
acbender,microbacterium foliorum,,,,1,phagesdb
accelerator,mycobacterium smegmatis,,,,1,phagesdb
accidwight,streptomyces griseus,,,,1,phagesdb
accio,mycobacterium smegmatis,,,,1,phagesdb
accra,gordonia terrae,,,,1,phagesdb
ace,gordonia terrae,,,,1,phagesdb
ace11,mycobacterium smegmatis,,,,1,phagesdb
ace15,mycobacterium smegmatis,,,,1,phagesdb
aceb,arthrobacter globiformis,,,,1,phagesdb
aced,microbacterium foliorum,,,,1,phagesdb
aceofhearts,arthrobacter sulfureus,,,,1,phagesdb
aceofspades,arthrobacter sulfureus,,,,1,phagesdb
acephal,mycobacterium smegmatis,,,,1,phagesdb
acer,mycobacterium smegmatis,,,,1,phagesdb
aces,mycobacterium smegmatis,,,,1,phagesdb
aceydecey,microbacterium foliorum,,,,1,phagesdb
acfishhook,mycobacterium smegmatis,MK284518,,,1,phagesdb
acha15,microbacterium foliorum,,,,1,phagesdb
achane28,gordonia rubripertincta,,,,1,phagesdb
acharyas,mycobacterium smegmatis,,,,1,phagesdb
achebe,mycobacterium smegmatis,KY083059,,,1,phagesdb
acheetah,mycobacterium smegmatis,,,,1,phagesdb
achelous,mycobacterium smegmatis,,,,1,phagesdb
achernar,arthrobacter sp.,,,,1,phagesdb
achey,mycobacterium smegmatis,,,,1,phagesdb
achilles,mycobacterium smegmatis,,,,1,phagesdb
achilles13,mycobacterium smegmatis,,,,1,phagesdb
achinko,arthrobacter globiformis,,,,1,phagesdb
achlys,microbacterium foliorum,,,,1,phagesdb
achmed,mycobacterium smegmatis,,,,1,phagesdb
achoo,mycobacterium smegmatis,,,,1,phagesdb
achtoophria,gordonia terrae,,,,1,phagesdb
ackerman,arthrobacter globiformis,,,,1,phagesdb
ackers,microbacterium foliorum,,,,1,phagesdb
ackert,gordonia terrae,,,,1,phagesdb
acme,mycobacterium smegmatis,MG812486,,,1,phagesdb
acolyte,mycobacterium smegmatis,MH509441,,,1,phagesdb
acorn,gordonia terrae,,,,1,phagesdb
acorn15,mycobacterium smegmatis,,,,1,phagesdb
acosta,microbacterium foliorum,PQ202989,,,1,phagesdb
acousticblip,mycobacterium smegmatis,,,,1,phagesdb
acquayera,gordonia rubripertincta,,,,1,phagesdb
acquire49,mycobacterium smegmatis,MK279905,,,1,phagesdb
actinup,mycobacterium smegmatis,MH051246,,,1,phagesdb
actionbdixon,mycobacterium smegmatis,,,,1,phagesdb
actnaomi,mycobacterium smegmatis,,,,1,phagesdb
actsfourtwelve,gordonia terrae,,,,1,phagesdb
acura,gordonia terrae,,,,1,phagesdb
acute,microbacterium foliorum,,,,1,phagesdb
acxx,mycobacterium smegmatis,,,,1,phagesdb
ada1,gordonia terrae,,,,1,phagesdb
adagio,curtobacterium flaccumfaciens,,,,1,phagesdb
adahisdi,mycobacterium smegmatis,MH697575,,,1,phagesdb
adahrose23,gordonia terrae,,,,1,phagesdb
adaia,arthrobacter sulfureus,MH834594,,,1,phagesdb
adalia,arthrobacter globiformis,,,,1,phagesdb
adaline2,gordonia terrae,,,,1,phagesdb
adam,mycobacterium smegmatis,,,,1,phagesdb
adam007,mycobacterium smegmatis,,,,1,phagesdb
