species,roc_auc,pr_auc,f1,mcc,n_test
achromobacter_xylosoxidans,1.0,1.0,0.9333333333333333,0.910465468000326,26
acinetobacter_baumannii,0.9978835978835979,0.9984341484341485,0.9230769230769231,0.8504200642707612,62
acinetobacter_johnsonii,1.0,1.0,0.8,0.8040302522073697,35
aeromonas_hydrophila,1.0,1.0,0.75,0.7429670248402683,28
aeromonas_salmonicida,1.0,1.0,0.9565217391304348,0.9418581497197699,42
bacillus_anthracis,0.9888888888888889,0.9680934343434343,0.7777777777777778,0.715199424715698,37
bacillus_cereus,0.9515527950310558,0.913549500000109,0.7906976744186046,0.6724825319683404,58
bacillus_megaterium,0.8770833333333333,0.774146795590946,0.7096774193548387,0.5630338963675112,46
bacillus_pumilus,0.9583333333333334,0.8195400432900433,0.3076923076923077,0.2543527874857913,34
bacillus_subtilis,0.8484848484848485,0.7362613799611593,0.6111111111111112,0.4804999801042981,65
bacillus_thuringiensis,0.9684959349593496,0.9761941186322838,0.5862068965517241,0.4553208464047432,65
bacillus_weihenstephanensis,0.9080459770114943,0.5492063492063493,0.25,0.15686368416817548,32
bdellovibrio_bacteriovorus,1.0,1.0,1.0,1.0,21
brevibacillus_laterosporus,1.0,0.9999999999999998,1.0,1.0,33
brochothrix_thermosphacta,1.0,1.0,0.8,0.8006407690254357,28
burkholderia_cenocepacia,1.0,1.0,1.0,1.0,35
burkholderia_cepacia,1.0,1.0,1.0,1.0,26
burkholderia_pseudomallei,1.0,1.0,1.0,1.0,22
burkholderia_thailandensis,1.0,1.0,1.0,1.0,24
campylobacter_jejuni,1.0,1.0,0.5,0.5163977794943222,22
caulobacter_crescentus,1.0,1.0,0.4,0.4225771273642583,23
cellulophaga_baltica,0.9999999999999999,1.0,0.9411764705882353,0.8967902788460657,37
chlamydia_psittaci,1.0,1.0,0.8,0.8006407690254357,28
citrobacter_freundii,0.9894179894179895,0.9778233671090814,0.9655172413793104,0.9480324003422907,41
clostridium_difficile,1.0,1.0,1.0,1.0,33
clostridium_perfringens,1.0,1.0,1.0,1.0,38
clostridium_tetani,1.0,1.0,1.0,1.0,30
corynebacterium_glutamicum,1.0,1.0,1.0,1.0,25
corynebacterium_vitaeruminis,1.0,1.0,1.0,1.0,16
cronobacter_malonaticus,1.0,1.0,1.0,1.0,20
cronobacter_sakazakii,0.9666666666666667,0.9281568159509335,0.9375,0.9024852563942802,41
edwardsiella_ictaluri,1.0,1.0,1.0,1.0,26
enterobacter_aerogenes,0.9848484848484849,0.9083333333333333,0.75,0.7196969696969697,37
enterobacter_cloacae,0.9913793103448276,0.94375,0.8888888888888888,0.8788707488040823,33
enterococcus_faecalis,0.9862258953168044,0.9881561674271776,0.8857142857142857,0.7632031385908294,66
enterococcus_faecium,1.0,1.0,0.4,0.4662524041201569,24
enterovibrio norvegicus,0.28473895582329317,0.047988325733076695,0.05970149253731343,-0.2252348734239121,269
erwinia_amylovora,1.0,0.9999999999999999,0.96,0.9198662110077999,48
escherichia_coli,0.9180274024024024,0.9776591896427521,0.9503239740820735,0.683439604551715,270
flavobacterium_psychrophilum,1.0,1.0,0.9655172413793104,0.9473309334313418,40
gordonia_malaquae,1.0,1.0,1.0,1.0,34
gordonia_terrae,0.9841269841269842,0.9921368718654788,0.780952380952381,0.5514818603262379,88
helicobacter_pylori,1.0,1.0,1.0,1.0,25
klebsiella_oxytoca,0.962962962962963,0.7638888888888888,0.8571428571428571,0.8416254115301732,21
klebsiella_pneumoniae,0.7784313725490195,0.7917929977233162,0.8823529411764706,0.6464956738809234,47
lactobacillus_casei,1.0,1.0,1.0,1.0,32
lactobacillus_delbrueckii,1.0,1.0,1.0,1.0,25
lactobacillus_fermentum,1.0,1.0,1.0,1.0,32
lactobacillus_gasseri,1.0,1.0,1.0,1.0,28
lactobacillus_johnsonii,1.0,1.0,1.0,1.0,15
lactobacillus_paracasei,1.0,1.0,1.0,1.0,23
lactobacillus_plantarum,0.9411764705882353,0.5138888888888888,0.6666666666666666,0.6078431372549019,20
lactococcus_garvieae,1.0,1.0,1.0,1.0,26
lactococcus_lactis,0.9355345911949686,0.9659100032562797,0.7415730337078652,0.4619734059730643,77
leuconostoc_mesenteroides,0.9403409090909091,0.8861763236763237,0.7619047619047619,0.6895828271676111,30
leuconostoc_pseudomesenteroides,0.990909090909091,0.9633333333333334,0.7692307692307693,0.7346922670565733,27
listeria_monocytogenes,1.0,1.0,0.8727272727272727,0.8050851138296667,67
mannheimia_haemolytica,1.0,1.0,1.0,1.0,33
microbacterium_foliorum,1.0,0.9999999999999998,0.9230769230769231,0.9071147352221454,31
mycobacterium_smegmatis,1.0,1.0,0.926984126984127,0.5839651188586524,368
mycobacterium_tuberculosis,1.0,1.0,1.0,1.0,23
paenibacillus_larvae,1.0,1.0,1.0,1.0,36
pantoea_agglomerans,0.9659090909090908,0.7666666666666666,0.8888888888888888,0.873862897505303,26
pectobacterium_atrosepticum,1.0,1.0,1.0,1.0,24
pectobacterium_carotovorum,1.0,1.0,0.8571428571428571,0.8385254915624211,19
prochlorococcus_marinus,1.0,1.0,0.8,0.7867957924694432,32
propionibacterium_acnes,1.0,1.0,1.0,1.0,84
propionibacterium_freudenreichii,1.0,1.0,1.0,1.0,36
proteus_mirabilis,0.9696969696969697,0.9522356431447341,0.3076923076923077,0.3481553119113957,29
pseudoalteromonas_marina,1.0,1.0,0.8571428571428571,0.8401680504168059,20
pseudomonas_aeruginosa,0.9503456945317411,0.9835761834199441,0.9541984732824428,0.7850163634690003,166
pseudomonas_fluorescens,0.9836956521739131,0.949156746031746,0.8888888888888888,0.8546547739343037,31
pseudomonas_putida,0.978835978835979,0.9004251700680272,0.875,0.848625128695526,34
pseudomonas_syringae,1.0,0.9999999999999999,0.9090909090909091,0.8366600265340756,45
ralstonia_solanacearum,1.0,1.0,1.0,1.0,37
rhizobium_etli,0.9333333333333333,0.6555555555555556,0.5714285714285714,0.5034965460952284,23
rhizobium_leguminosarum,0.9523809523809523,0.5138888888888888,0.4,0.34188172937891387,24
rhodobacter_capsulatus,1.0,1.0,0.9090909090909091,0.8885233166386385,24
rhodococcus_equi,1.0,1.0,1.0,1.0,27
rhodococcus_erythropolis,0.9903846153846154,0.94375,0.8888888888888888,0.8770580193070292,30
salinibacter_ruber,1.0,1.0,0.8888888888888888,0.870571500132014,23
salmonella_enterica,0.9023157208088716,0.931949958301846,0.752,0.5076893139508721,115
salmonella_enteritidis,1.0,1.0,0.8888888888888888,0.8618916073713346,18
salmonella_paratyphi,1.0,1.0,0.8,0.7977240352174656,24
salmonella_typhimurium,1.0,1.0,0.96,0.9386793281621159,34
shewanella sp.,0.6875,0.765625,0.0,0.0,41
shewanella sp. 10n.6,0.6501347708894878,0.034863697674969225,0.0,0.0,272
shewanella sp. m16,0.75,0.6176470588235294,0.0,0.0,30
shigella_boydii,0.84,0.25092592592592594,0.4,0.3333333333333333,28
shigella_flexneri,0.9672413793103448,0.9563397520092567,0.8,0.7097219217555698,49
shigella_sonnei,0.9826388888888888,0.9675234487734489,0.8181818181818182,0.7454993164109748,36
sinorhizobium_meliloti,0.9833333333333334,0.9380952380952381,0.8333333333333334,0.809173593712687,29
staphylococcus_aureus,0.9430095886173833,0.9661823928783523,0.8216216216216217,0.6440356472477303,167
staphylococcus_auricularis,0.787037037037037,0.1,0.0,0.0,58
staphylococcus_capitis,0.66875,0.3975769600769601,0.15384615384615385,-0.0521749194749951,58
staphylococcus_chromogenes,0.83984375,0.823177641501945,0.6779661016949152,0.45643546458763845,52
staphylococcus_cohnii,0.9029947916666666,0.6210316862256517,0.0,0.0,64
staphylococcus_epidermidis,0.6622710622710622,0.6075702187944348,0.2641509433962264,-0.09548198320525772,74
staphylococcus_equorum,0.823076923076923,0.5263854679802956,0.0,0.0,59
staphylococcus_fleuretti,0.5803571428571429,0.1128871128871129,0.0,0.0,63
staphylococcus_haemolyticus,0.6696428571428571,0.27296235380116957,0.2222222222222222,0.18042487147854505,62
staphylococcus_hyicus,0.7696078431372549,0.13645833333333335,0.0,0.0,57
staphylococcus_kloosii,0.6718266253869969,0.3485190667175961,0.0,0.0,55
staphylococcus_lentus,0.7239130434782609,0.3472560000663449,0.0,0.0,56
staphylococcus_lugdunensis,0.7435064935064936,0.5007135012566162,0.0,0.0,57
staphylococcus_pasteuri,0.7916666666666666,0.38883357041251776,0.0,0.0,67
staphylococcus_pettenkoferi,0.7477678571428572,0.11081504702194359,0.2,0.1336306209562122,60
staphylococcus_saprophyticus,0.7282608695652174,0.4006196581196581,0.14814814814814814,0.09035624609139907,49
staphylococcus_schleiferi,0.8999999999999999,0.5442394813640561,0.0,0.0,57
staphylococcus_sciuri,0.6864516129032259,0.5072923164462784,0.7868852459016393,0.5943823033878491,56
staphylococcus_succinus,0.953813104189044,0.8947785323191803,0.8444444444444444,0.7914376958255314,68
staphylococcus_vitulinus,0.7618135376756067,0.6573119051529847,0.8529411764705882,0.6842412840897585,56
staphylococcus_warneri,0.8541666666666667,0.5235545106234761,0.0,0.0,58
staphylococcus_xylosus,0.979978354978355,0.97263132716508,0.30303030303030304,0.3243911093675884,61
streptococcus_pyogenes,1.0,1.0,1.0,1.0,29
streptococcus_thermophilus,1.0,1.0,1.0,1.0,40
streptomyces_avermitilis,1.0,1.0,1.0,1.0,23
streptomyces_coelicolor,1.0,1.0,1.0,1.0,20
streptomyces_griseus,1.0,1.0,1.0,1.0,41
streptomyces_lividans,1.0,1.0,1.0,1.0,22
streptomyces_venezuelae,1.0,1.0,1.0,1.0,23
thermus_thermophilus,1.0,1.0,1.0,1.0,29
vibrio alginolyticus,0.9458041958041957,0.3192771084337349,0.0,-0.023415129718786305,339
vibrio alginolyticus nbrc 15630 = atcc 17749,0.5833333333333333,0.574468085106383,0.0,0.0,55
vibrio anguillarum,0.9524647887323944,0.8150684931506849,0.0,0.0,330
vibrio breoganii,0.637563775510204,0.6173662129881083,0.0,0.0,329
vibrio campbellii,0.6354166666666667,0.5625,0.0,0.0,53
vibrio campbellii atcc baa-1116,0.6129032258064516,0.6129032258064516,0.0,0.0,38
vibrio campbellii hy01,0.5581395348837209,0.5365853658536586,0.0,0.0,46
vibrio cholerae,0.5833333333333333,0.8529411764705883,0.0,0.0,108
vibrio cholerae o1,0.5925925925925926,0.6071428571428571,0.0,0.0,66
vibrio cholerae o1 biovar el tor,0.5641025641025641,0.6458333333333334,0.0,0.0,53
vibrio cholerae o139,0.5869565217391304,0.6041666666666666,0.0,0.0,56
vibrio coralliilyticus,0.5714285714285714,0.5909090909090909,0.0,0.0,50
vibrio coralliilyticus p1,0.5405405405405406,0.5405405405405406,0.0,0.0,40
vibrio crassostreae,0.6428571428571428,0.9796084828711256,0.0,0.0,623
vibrio cyclitrophicus,0.8827672101449275,0.8774359888144951,0.0,0.0,422
vibrio cyclitrophicus 1f273,0.5636363636363637,0.5294117647058824,0.0,0.0,58
vibrio cyclitrophicus 1f53,0.6046511627906976,0.5526315789473684,0.0,0.0,47
vibrio harveyi,0.641025641025641,0.8205128205128205,0.0,0.0,89
vibrio kanaloae,0.8375451263537905,0.03024104484778642,0.0,-0.006230438897231946,280
vibrio lentus,0.6462166193805025,0.7105575048939259,0.0,0.0,370
vibrio mediterranei,0.6,0.5789473684210527,0.0,0.0,46
vibrio natriegens,0.5476190476190477,0.5957446808510638,0.0,0.0,51
vibrio neocaledonicus,0.6170212765957447,0.5384615384615384,0.0,0.0,50
vibrio parahaemolyticus,0.9494584837545126,0.43333333333333335,0.0,0.0,446
vibrio parahaemolyticus rimd 2210633,0.6025641025641026,0.5441176470588235,0.0,0.0,42
vibrio sp.,0.5618872549019608,0.8306004642194276,0.0,0.0,133
vibrio sp. 10n.1,0.22747635639621702,0.014584777377123232,0.0,-0.012925032498419444,294
vibrio sp. 10n.2,0.5285714285714286,0.01055546463933562,0.0,0.0,283
vibrio sp. f12,0.7421843552931706,0.2956251779321164,0.0,0.0,286
vibrio sp. f13,0.7682384341637011,0.09529658034795144,0.0,0.0,297
vibrio splendidus,0.755944486547935,0.39060056005585664,0.0,-0.07013121417303164,323
vibrio tasmaniensis,0.8295454545454547,0.37712252852595113,0.0,0.0,294
vibrio vulnificus,0.9469964664310955,0.09722222222222222,0.0,-0.009251387688325872,290
vibrio_alginolyticus,1.0,1.0,0.6666666666666666,0.6688560540599386,21
vibrio_cholerae,1.0,0.9999999999999997,0.8260869565217391,0.6979824404521128,45
vibrio_harveyi,1.0,1.0,0.8888888888888888,0.8763560920082657,29
vibrio_parahaemolyticus,0.9410774410774411,0.848371966958615,0.4,0.3015929112895433,51
vibrio_splendidus,1.0,1.0,0.8,0.7993052538854533,26
vibrio_vulnificus,0.6470588235294117,0.5991071428571428,0.6666666666666666,0.6688560540599386,21
