species,roc_auc,pr_auc,f1,mcc,n_test
achromobacter_xylosoxidans,1.0,1.0,0.9333333333333333,0.910465468000326,26
acinetobacter_baumannii,1.0,1.0,0.9705882352941176,0.9369271648934462,62
acinetobacter_johnsonii,1.0,1.0,0.8,0.8040302522073697,35
aeromonas_hydrophila,1.0,1.0,1.0,1.0,28
aeromonas_salmonicida,0.9999999999999999,1.0,0.9565217391304348,0.9418581497197699,42
bacillus_anthracis,0.9851851851851853,0.9547005772005771,0.75,0.722897396012249,37
bacillus_cereus,0.9229813664596274,0.8478118045685389,0.5405405405405406,0.3663797058960471,58
bacillus_megaterium,0.9479166666666667,0.9067627258983557,0.7741935483870968,0.6604006604009905,46
bacillus_pumilus,0.9625,0.82755772005772,0.7777777777777778,0.70716343811394,34
bacillus_subtilis,0.8441558441558442,0.6928559402330527,0.45714285714285713,0.2782424236639865,65
bacillus_thuringiensis,0.9186991869918699,0.9363216306215236,0.5,0.34339489542004265,65
bacillus_weihenstephanensis,0.9540229885057471,0.6555555555555556,0.5714285714285714,0.52678658400752,32
bdellovibrio_bacteriovorus,1.0,1.0,1.0,1.0,21
brevibacillus_laterosporus,1.0,0.9999999999999998,1.0,1.0,33
brochothrix_thermosphacta,1.0,1.0,0.8,0.8006407690254357,28
burkholderia_cenocepacia,1.0,0.9999999999999999,1.0,1.0,35
burkholderia_cepacia,1.0,1.0,1.0,1.0,26
burkholderia_pseudomallei,1.0,1.0,1.0,1.0,22
burkholderia_thailandensis,1.0,1.0,1.0,1.0,24
campylobacter_jejuni,1.0,0.9999999999999999,1.0,1.0,22
caulobacter_crescentus,1.0,1.0,1.0,1.0,23
cellulophaga_baltica,0.9999999999999999,1.0,0.9411764705882353,0.8967902788460657,37
chlamydia_psittaci,1.0,1.0,0.8,0.8006407690254357,28
citrobacter_freundii,0.9761904761904763,0.9344122147693577,0.9655172413793104,0.9480324003422907,41
clostridium_difficile,1.0,1.0,1.0,1.0,33
clostridium_perfringens,1.0,1.0,1.0,1.0,38
clostridium_tetani,1.0,1.0,1.0,1.0,30
corynebacterium_glutamicum,1.0,1.0,1.0,1.0,25
corynebacterium_vitaeruminis,1.0,1.0,1.0,1.0,16
cronobacter_malonaticus,1.0,1.0,1.0,1.0,20
cronobacter_sakazakii,0.9641025641025642,0.9233208186149362,0.9090909090909091,0.8585915718078574,41
edwardsiella_ictaluri,1.0,1.0,1.0,1.0,26
enterobacter_aerogenes,0.9696969696969696,0.8660714285714286,0.6,0.5552336962739256,37
enterobacter_cloacae,1.0,1.0,0.8,0.7878385971583353,33
enterococcus_faecalis,0.9834710743801652,0.9855925453486427,0.9014084507042254,0.7970811413304556,66
enterococcus_faecium,1.0,1.0,0.6666666666666666,0.674199862463242,24
enterovibrio norvegicus,0.25070281124497995,0.055786769090251764,0.05660377358490566,-0.25942660464618417,269
erwinia_amylovora,1.0,0.9999999999999999,1.0,1.0,48
escherichia_coli,0.9187312312312313,0.9741618698078264,0.9586056644880174,0.7433367533058968,270
flavobacterium_psychrophilum,1.0,1.0,1.0,1.0,40
gordonia_malaquae,1.0,1.0,1.0,1.0,34
gordonia_terrae,0.9853968253968255,0.992930833999221,0.9421487603305785,0.822739227092271,88
helicobacter_pylori,1.0,1.0,1.0,1.0,25
klebsiella_oxytoca,0.962962962962963,0.7638888888888888,0.8571428571428571,0.8416254115301732,21
klebsiella_pneumoniae,0.7764705882352941,0.7961070746055747,0.8823529411764706,0.6464956738809234,47
lactobacillus_casei,0.9999999999999999,1.0,0.8,0.7867957924694432,32
lactobacillus_delbrueckii,1.0,1.0000000000000002,1.0,1.0,25
lactobacillus_fermentum,1.0,1.0,1.0,1.0,32
lactobacillus_gasseri,1.0,1.0,1.0,1.0,28
lactobacillus_johnsonii,1.0,1.0,1.0,1.0,15
lactobacillus_paracasei,1.0,0.9999999999999998,1.0,1.0,23
lactobacillus_plantarum,0.9607843137254902,0.7638888888888888,0.8571428571428571,0.8401680504168059,20
lactococcus_garvieae,1.0,1.0,1.0,1.0,26
lactococcus_lactis,0.9795597484276729,0.9888382865108726,0.875,0.7003032302788088,77
leuconostoc_mesenteroides,0.9034090909090908,0.7369396228771229,0.7619047619047619,0.6895828271676111,30
leuconostoc_pseudomesenteroides,1.0,1.0,0.7142857142857143,0.6741998624632421,27
listeria_monocytogenes,0.999031007751938,0.9982986111111111,0.8727272727272727,0.8050851138296667,67
mannheimia_haemolytica,1.0,1.0,1.0,1.0,33
microbacterium_foliorum,1.0,0.9999999999999998,1.0,1.0,31
mycobacterium_smegmatis,1.0,1.0,1.0,1.0,368
mycobacterium_tuberculosis,1.0,1.0,1.0,1.0,23
paenibacillus_larvae,1.0,1.0,1.0,1.0,36
pantoea_agglomerans,0.9545454545454545,0.73125,0.8,0.778498944161523,26
pectobacterium_atrosepticum,1.0,1.0,1.0,1.0,24
pectobacterium_carotovorum,1.0,1.0,1.0,1.0,19
prochlorococcus_marinus,1.0,1.0,0.8,0.7867957924694432,32
propionibacterium_acnes,1.0,0.9999999999999999,1.0,1.0,84
propionibacterium_freudenreichii,0.9999999999999999,1.0,1.0,1.0,36
proteus_mirabilis,0.9747474747474748,0.9599950554496008,0.42857142857142855,0.4345240946267408,29
pseudoalteromonas_marina,1.0,1.0,0.6666666666666666,0.6666666666666666,20
pseudomonas_aeruginosa,0.9369369369369369,0.9775972691360613,0.9591078066914498,0.8046678491715371,166
pseudomonas_fluorescens,1.0,1.0,0.8,0.7421082385212817,31
pseudomonas_putida,1.0,0.9999999999999998,0.7777777777777778,0.7362659452178554,34
pseudomonas_syringae,1.0,0.9999999999999999,1.0,1.0,45
ralstonia_solanacearum,1.0,1.0,1.0,1.0,37
rhizobium_etli,1.0,1.0,0.75,0.7348469228349533,23
rhizobium_leguminosarum,0.9523809523809524,0.5138888888888888,0.6666666666666666,0.6190476190476191,24
rhodobacter_capsulatus,1.0,1.0,1.0,1.0,24
rhodococcus_equi,1.0,1.0,1.0,1.0,27
rhodococcus_erythropolis,1.0,1.0,0.8888888888888888,0.8770580193070292,30
salinibacter_ruber,1.0,1.0,1.0,1.0,23
salmonella_enterica,0.9556425309849967,0.9705135970509388,0.9251700680272109,0.7927977940140608,115
salmonella_enteritidis,0.9999999999999999,1.0,1.0,1.0,18
salmonella_paratyphi,1.0,1.0,1.0,1.0,24
salmonella_typhimurium,1.0,1.0,1.0,1.0,34
shewanella sp.,0.6875,0.765625,0.0,0.0,41
shewanella sp. 10n.6,0.692722371967655,0.039255509270913536,0.0,0.0,272
shewanella sp. m16,0.75,0.6176470588235294,0.0,0.0,30
shigella_boydii,0.84,0.496031746031746,0.36363636363636365,0.2921186973360886,28
shigella_flexneri,0.9896551724137931,0.9863495200451724,0.8780487804878049,0.7911144474508838,49
shigella_sonnei,0.9895833333333334,0.9827380952380953,0.9166666666666666,0.875,36
sinorhizobium_meliloti,0.9916666666666667,0.9633333333333334,0.8333333333333334,0.809173593712687,29
staphylococcus_aureus,0.9270027837921436,0.9575610669263572,0.8241758241758241,0.6682900763895969,167
staphylococcus_auricularis,0.8935185185185185,0.25560897435897434,0.0,0.0,58
staphylococcus_capitis,0.7972222222222222,0.5175209293630347,0.10526315789473684,0.19744962591969745,58
staphylococcus_chromogenes,0.8328125,0.7786285069097569,0.09523809523809523,0.17712297710801905,52
staphylococcus_cohnii,0.8938802083333334,0.6229888151279406,0.0,0.0,64
staphylococcus_epidermidis,0.6296703296703297,0.6215256867629008,0.27906976744186046,0.19317928801565998,74
staphylococcus_equorum,0.8519230769230769,0.5614772577640225,0.0,0.0,59
staphylococcus_fleuretti,0.8316326530612245,0.25333238190381047,0.0,0.0,63
staphylococcus_haemolyticus,0.6904761904761905,0.2826018515034253,0.2222222222222222,0.18042487147854505,62
staphylococcus_hyicus,0.8464052287581699,0.2587287712287712,0.0,0.0,57
staphylococcus_kloosii,0.7236842105263158,0.49177790886638134,0.0,0.0,55
staphylococcus_lentus,0.7326086956521739,0.25648423493434347,0.0,0.0,56
staphylococcus_lugdunensis,0.7396103896103896,0.47716310888945884,0.0,0.0,57
staphylococcus_pasteuri,0.9375,0.2509259259259259,0.0,0.0,67
staphylococcus_pettenkoferi,0.7254464285714286,0.10903235653235654,0.2222222222222222,0.25,60
staphylococcus_saprophyticus,0.7681159420289855,0.43689107827038853,0.5,0.5651941652604391,49
staphylococcus_schleiferi,0.915,0.9210189035189036,0.21428571428571427,0.26666666666666666,57
staphylococcus_sciuri,0.7780645161290323,0.723495067606669,0.7741935483870968,0.5676563615255572,56
staphylococcus_succinus,0.9446831364124598,0.8691421787706617,0.0,0.0,68
staphylococcus_vitulinus,0.6979565772669222,0.5737827780085253,0.8529411764705882,0.6842412840897585,56
staphylococcus_warneri,0.8333333333333335,0.24174534756431304,0.0,0.0,58
staphylococcus_xylosus,0.987012987012987,0.9808322702121601,0.06896551724137931,0.14015297764534704,61
streptococcus_pyogenes,1.0,1.0,1.0,1.0,29
streptococcus_thermophilus,1.0,1.0,1.0,1.0,40
streptomyces_avermitilis,1.0,1.0,1.0,1.0,23
streptomyces_coelicolor,1.0,1.0,1.0,1.0,20
streptomyces_griseus,1.0,1.0,1.0,1.0,41
streptomyces_lividans,1.0,0.9999999999999998,1.0,1.0,22
streptomyces_venezuelae,1.0,1.0,1.0,1.0,23
thermus_thermophilus,1.0,1.0,1.0,1.0,29
vibrio alginolyticus,0.9458041958041957,0.3192771084337349,0.0,-0.023415129718786305,339
vibrio alginolyticus nbrc 15630 = atcc 17749,0.5833333333333334,0.574468085106383,0.0,0.0,55
vibrio anguillarum,0.9524647887323944,0.8150684931506849,0.0,0.0,330
vibrio breoganii,0.6437074829931972,0.6151136851468288,0.0,0.0,329
vibrio campbellii,0.6354166666666666,0.5625,0.0,0.0,53
vibrio campbellii atcc baa-1116,0.6129032258064516,0.6129032258064516,0.0,0.0,38
vibrio campbellii hy01,0.5581395348837209,0.5365853658536586,0.0,0.0,46
vibrio cholerae,0.5833333333333333,0.8529411764705883,0.0,0.0,108
vibrio cholerae o1,0.5925925925925926,0.6071428571428571,0.0,0.0,66
vibrio cholerae o1 biovar el tor,0.5641025641025641,0.6458333333333334,0.0,0.0,53
vibrio cholerae o139,0.5869565217391304,0.6041666666666666,0.0,0.0,56
vibrio coralliilyticus,0.5714285714285714,0.5909090909090909,0.0,0.0,50
vibrio coralliilyticus p1,0.5405405405405406,0.5405405405405406,0.0,0.0,40
vibrio crassostreae,0.6428571428571428,0.9796084828711256,0.0,0.0,623
vibrio cyclitrophicus,0.8413496376811594,0.8570177141666043,0.0,0.0,422
vibrio cyclitrophicus 1f273,0.5636363636363637,0.5294117647058824,0.0,0.0,58
vibrio cyclitrophicus 1f53,0.6046511627906977,0.5526315789473684,0.0,0.0,47
vibrio harveyi,0.641025641025641,0.8205128205128205,0.0,0.0,89
vibrio kanaloae,0.8760529482551144,0.03562659815699329,0.0,-0.006230438897231946,280
vibrio lentus,0.6715610284009477,0.7153046876104475,0.0,0.0,370
vibrio mediterranei,0.6,0.5789473684210527,0.0,0.0,46
vibrio natriegens,0.5476190476190476,0.5957446808510638,0.0,0.0,51
vibrio neocaledonicus,0.6170212765957447,0.5384615384615384,0.0,0.0,50
vibrio parahaemolyticus,0.9422382671480144,0.4289340101522843,0.0,0.0,446
vibrio parahaemolyticus rimd 2210633,0.6025641025641026,0.5441176470588235,0.0,0.0,42
vibrio sp.,0.5621323529411765,0.8306623417788502,0.0,0.0,133
vibrio sp. 10n.1,0.3454454952712792,0.01751873311145323,0.0,-0.012925032498419444,294
vibrio sp. 10n.2,0.4476190476190476,0.009109959037378393,0.0,0.0,283
vibrio sp. f12,0.8418757547296392,0.345837244568335,0.0,0.0,286
vibrio sp. f13,0.7288701067615658,0.3419231238756234,0.0,0.0,297
vibrio splendidus,0.7436528988253126,0.6089614732056285,0.0,0.0,323
vibrio tasmaniensis,0.8116258741258742,0.37298210536838877,0.0,0.0,294
vibrio vulnificus,0.9081272084805654,0.07446808510638298,0.0,-0.013106132558461651,290
vibrio_alginolyticus,1.0,1.0,0.6666666666666666,0.6688560540599386,21
vibrio_cholerae,1.0,0.9999999999999998,0.8260869565217391,0.6979824404521128,45
vibrio_harveyi,1.0,1.0,0.75,0.7442084075352507,29
vibrio_parahaemolyticus,0.9259259259259259,0.8149028807777743,0.5185185185185185,0.4115243038820259,51
vibrio_splendidus,1.0,1.0,0.8,0.7993052538854533,26
vibrio_vulnificus,0.8235294117647058,0.80625,0.8571428571428571,0.8416254115301732,21
xanthomonas_campestris,1.0,1.0,1.0,1.0,25
xanthomonas_oryzae,1.0,1.0,1.0,1.0,27
xylella_fastidiosa,1.0,1.0,0.3333333333333333,0.41137667560372115,27
