species,roc_auc,pr_auc,f1,mcc,n_test
achromobacter_xylosoxidans,1.0,1.0,1.0,1.0,26
acinetobacter_baumannii,1.0,1.0,0.9855072463768116,0.9678505534831042,62
acinetobacter_johnsonii,1.0,1.0,0.8,0.8040302522073697,35
aeromonas_hydrophila,1.0,1.0,1.0,1.0,28
aeromonas_salmonicida,1.0,1.0,1.0,1.0,42
bacillus_anthracis,0.9814814814814815,0.9392243867243867,0.625,0.5577912006267353,37
bacillus_cereus,0.9515527950310559,0.9000679757247146,0.8181818181818182,0.7093399364191828,58
bacillus_megaterium,0.9541666666666667,0.892099213570601,0.7407407407407407,0.6606437893829143,46
bacillus_pumilus,0.9916666666666667,0.9798989898989899,0.46153846153846156,0.4819315973414993,34
bacillus_subtilis,0.9264069264069265,0.8604382417447467,0.6666666666666666,0.5281967363489334,65
bacillus_thuringiensis,0.9745934959349594,0.9829092816623403,0.7272727272727273,0.539332054527311,65
bacillus_weihenstephanensis,0.9310344827586207,0.3722222222222222,0.6,0.6078306738548308,32
bdellovibrio_bacteriovorus,1.0,1.0,1.0,1.0,21
brevibacillus_laterosporus,1.0,0.9999999999999998,1.0,1.0,33
brochothrix_thermosphacta,1.0,1.0,0.8,0.8006407690254357,28
burkholderia_cenocepacia,1.0,0.9999999999999999,1.0,1.0,35
burkholderia_cepacia,1.0,1.0,1.0,1.0,26
burkholderia_pseudomallei,1.0,1.0,1.0,1.0,22
burkholderia_thailandensis,1.0,1.0,1.0,1.0,24
campylobacter_jejuni,1.0,1.0,0.5,0.5163977794943222,22
caulobacter_crescentus,1.0,1.0,0.9333333333333333,0.90571104663684,23
cellulophaga_baltica,1.0,1.0,0.9411764705882353,0.8967902788460657,37
chlamydia_psittaci,1.0,1.0,0.8,0.8006407690254357,28
citrobacter_freundii,0.9841269841269842,0.963465502751217,0.9655172413793104,0.9480324003422907,41
clostridium_difficile,1.0,1.0,1.0,1.0,33
clostridium_perfringens,1.0,1.0,1.0,1.0,38
clostridium_tetani,1.0,1.0,1.0,1.0,30
corynebacterium_glutamicum,0.9848484848484849,0.9027777777777777,0.8,0.7985494095046906,25
corynebacterium_vitaeruminis,1.0,1.0,1.0,1.0,16
cronobacter_malonaticus,1.0,1.0,1.0,1.0,20
cronobacter_sakazakii,0.9794871794871796,0.9578129006070182,0.9375,0.9024852563942802,41
edwardsiella_ictaluri,1.0,1.0,1.0,1.0,26
enterobacter_aerogenes,0.9696969696969697,0.8660714285714286,0.75,0.7196969696969697,37
enterobacter_cloacae,1.0,1.0,1.0,1.0,33
enterococcus_faecalis,0.9853076216712581,0.9870840674284,0.9117647058823529,0.819688599970537,66
enterococcus_faecium,1.0,1.0,0.6666666666666666,0.674199862463242,24
enterovibrio norvegicus,0.29226907630522087,0.08696121546348873,0.08450704225352113,-0.08740309131193494,269
erwinia_amylovora,1.0,0.9999999999999999,0.96,0.9198662110077999,48
escherichia_coli,0.9315878378378379,0.980017059586629,0.962800875273523,0.7722772440159736,270
flavobacterium_psychrophilum,1.0,1.0,1.0,1.0,40
gordonia_malaquae,1.0,1.0,1.0,1.0,34
gordonia_terrae,0.9834920634920634,0.9917247090266836,0.7924528301886793,0.5653747242416922,88
helicobacter_pylori,1.0,1.0,1.0,1.0,25
klebsiella_oxytoca,0.962962962962963,0.7638888888888888,0.8571428571428571,0.8416254115301732,21
klebsiella_pneumoniae,0.8607843137254901,0.8322263814081987,0.8955223880597015,0.6906138832741963,47
lactobacillus_casei,1.0,1.0,0.8888888888888888,0.8783100656536799,32
lactobacillus_delbrueckii,1.0,1.0000000000000002,1.0,1.0,25
lactobacillus_fermentum,1.0,1.0,1.0,1.0,32
lactobacillus_gasseri,1.0,1.0,1.0,1.0,28
lactobacillus_johnsonii,1.0,1.0,1.0,1.0,15
lactobacillus_paracasei,1.0,1.0,1.0,1.0,23
lactobacillus_plantarum,0.9607843137254902,0.7638888888888888,0.6666666666666666,0.6078431372549019,20
lactococcus_garvieae,1.0,1.0,1.0,1.0,26
lactococcus_lactis,0.9591194968553459,0.9790949227057374,0.8,0.5910802398207119,77
leuconostoc_mesenteroides,0.8295454545454546,0.5525758963258963,0.7619047619047619,0.6895828271676111,30
leuconostoc_pseudomesenteroides,0.9909090909090909,0.9633333333333334,0.7142857142857143,0.6741998624632421,27
listeria_monocytogenes,1.0,0.9999999999999999,0.9230769230769231,0.8817077961965372,67
mannheimia_haemolytica,1.0,1.0,1.0,1.0,33
microbacterium_foliorum,1.0,0.9999999999999998,1.0,1.0,31
mycobacterium_smegmatis,1.0,1.0,0.9583975346687211,0.6958971276043858,368
mycobacterium_tuberculosis,1.0,1.0,1.0,1.0,23
paenibacillus_larvae,1.0,1.0,1.0,1.0,36
pantoea_agglomerans,0.9772727272727273,0.8708333333333332,0.5714285714285714,0.5133270023393454,26
pectobacterium_atrosepticum,1.0,1.0,1.0,1.0,24
pectobacterium_carotovorum,1.0,1.0,1.0,1.0,19
prochlorococcus_marinus,1.0,1.0,0.8,0.7867957924694432,32
propionibacterium_acnes,1.0,0.9999999999999998,1.0,1.0,84
propionibacterium_freudenreichii,0.9999999999999999,1.0,1.0,1.0,36
proteus_mirabilis,0.9797979797979798,0.9695910150455604,0.5333333333333333,0.5116817192534651,29
pseudoalteromonas_marina,1.0,1.0,0.8571428571428571,0.8401680504168059,20
pseudomonas_aeruginosa,0.9490886235072282,0.9823689541098488,0.9772727272727273,0.894762873950747,166
pseudomonas_fluorescens,0.9891304347826088,0.9685019841269842,0.9411764705882353,0.9220854330774995,31
pseudomonas_putida,0.9947089947089948,0.9808673469387754,0.9333333333333333,0.9179284245476836,34
pseudomonas_syringae,1.0,0.9999999999999999,1.0,1.0,45
ralstonia_solanacearum,1.0,1.0,1.0,1.0,37
rhizobium_etli,1.0,1.0,0.8571428571428571,0.8440971508067066,23
rhizobium_leguminosarum,0.9523809523809523,0.5138888888888888,0.6666666666666666,0.6190476190476191,24
rhodobacter_capsulatus,1.0,1.0,1.0,1.0,24
rhodococcus_equi,1.0,1.0,1.0,1.0,27
rhodococcus_erythropolis,0.9807692307692307,0.8708333333333332,0.8888888888888888,0.8770580193070292,30
salinibacter_ruber,1.0,1.0,1.0,1.0,23
salmonella_enterica,0.9540117416829745,0.9710800910287547,0.8920863309352518,0.7342293597232116,115
salmonella_enteritidis,0.9999999999999999,1.0,1.0,1.0,18
salmonella_paratyphi,1.0,1.0,1.0,1.0,24
salmonella_typhimurium,1.0,1.0,1.0,1.0,34
shewanella sp.,0.6875,0.765625,0.0,0.0,41
shewanella sp. 10n.6,0.7223719676549865,0.0490815497816412,0.0,0.0,272
shewanella sp. m16,0.75,0.6176470588235294,0.0,0.0,30
shigella_boydii,0.8533333333333334,0.26944444444444443,0.25,0.13997929453512303,28
shigella_flexneri,0.9965517241379309,0.9949937343358397,0.918918918918919,0.8776744840770979,49
shigella_sonnei,0.9895833333333333,0.9827380952380954,0.9166666666666666,0.875,36
sinorhizobium_meliloti,0.9916666666666667,0.9633333333333334,0.8333333333333334,0.809173593712687,29
staphylococcus_aureus,0.9114599443241571,0.9475626655997896,0.7514450867052023,0.5701948795165828,167
staphylococcus_auricularis,0.7222222222222222,0.08695652173913043,0.0,0.0,58
staphylococcus_capitis,0.8048611111111111,0.5295611414729062,0.10526315789473684,0.19744962591969745,58
staphylococcus_chromogenes,0.83515625,0.7800455864518365,0.625,0.3354656500760583,52
staphylococcus_cohnii,0.8346354166666666,0.47328054980263573,0.0,0.0,64
staphylococcus_epidermidis,0.6490842490842491,0.6478724189638291,0.425531914893617,0.31753908196158165,74
staphylococcus_equorum,0.823076923076923,0.5266072197607442,0.0,0.0,59
staphylococcus_fleuretti,0.6160714285714286,0.1294498788777965,0.0,0.0,63
staphylococcus_haemolyticus,0.6458333333333334,0.2699396006852147,0.2222222222222222,0.18042487147854505,62
staphylococcus_hyicus,0.6944444444444444,0.14421255827505827,0.0,0.0,57
staphylococcus_kloosii,0.6795665634674923,0.4580657371638276,0.0,0.0,55
staphylococcus_lentus,0.7097826086956522,0.24446203697264818,0.0,0.0,56
staphylococcus_lugdunensis,0.6253246753246753,0.42597707987845757,0.0,0.0,57
staphylococcus_pasteuri,0.8515625,0.48470169677066227,0.23529411764705882,0.24374474445459599,67
staphylococcus_pettenkoferi,0.7879464285714285,0.3507176700111483,0.2222222222222222,0.16116459280507606,60
