species,genus,n_pos,n_strains,single_cov,topk_cov,random_cov,greedy_cov,single_robust,topk_robust,greedy_robust
achromobacter xylosoxidans,achromobacter,7,3,0.3333333333333333,0.3333333333333333,0.5866666666666667,1.0,0.0,0.3333333333333333,0.6666666666666666
acinetobacter baumannii,acinetobacter,35,17,0.058823529411764705,0.17647058823529413,0.12382352941176471,0.17647058823529413,0.0,0.11764705882352941,0.11764705882352941
aeromonas hydrophila,aeromonas,3,2,0.5,1.0,0.73,1.0,0.0,1.0,0.5
aeromonas salmonicida,aeromonas,11,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
bacillus anthracis,bacillus,10,5,0.2,0.2,0.41600000000000004,0.6,0.0,0.2,0.4
bacillus cereus,bacillus,23,10,0.1,0.2,0.17900000000000002,0.3,0.0,0.2,0.2
bacillus megaterium,bacillus,16,6,0.16666666666666666,0.5,0.2891666666666666,0.5,0.0,0.3333333333333333,0.3333333333333333
bacillus pumilus,bacillus,10,4,0.25,0.25,0.4325,0.75,0.0,0.25,0.5
bacillus subtilis,bacillus,21,7,0.14285714285714285,0.2857142857142857,0.17642857142857138,0.42857142857142855,0.0,0.2857142857142857,0.2857142857142857
bacillus thuringiensis,bacillus,41,30,0.03333333333333333,0.1,0.08816666666666667,0.1,0.0,0.06666666666666667,0.06666666666666667
bacillus weihenstephanensis,bacillus,3,3,0.3333333333333333,0.6666666666666666,0.415,1.0,0.0,0.3333333333333333,0.6666666666666666
brevibacillus laterosporus,brevibacillus,7,7,0.14285714285714285,0.42857142857142855,0.36785714285714277,0.42857142857142855,0.0,0.2857142857142857,0.2857142857142857
burkholderia cepacia,burkholderia,7,2,0.5,0.5,0.6875,1.0,0.0,0.5,0.5
citrobacter freundii,citrobacter,14,5,0.2,0.2,0.355,0.6,0.0,0.2,0.4
clostridium difficile,clostridium,16,3,0.3333333333333333,0.3333333333333333,0.45666666666666667,1.0,0.0,0.3333333333333333,0.6666666666666666
clostridium perfringens,clostridium,12,4,0.25,0.5,0.40625,0.75,0.0,0.25,0.5
cronobacter sakazakii,cronobacter,15,6,0.16666666666666666,0.3333333333333333,0.2941666666666667,0.5,0.0,0.3333333333333333,0.3333333333333333
