genus,n_species,total_strains,mean_s_greedy_k3,mean_s_random_k3,mean_robust_k3,pct75_at_k3
achromobacter,1,3,1.0,0.583,0.667,100.0
aeromonas,2,3,1.0,0.872,0.25,100.0
streptomyces,1,3,1.0,0.687,0.667,100.0
brevibacillus,1,2,1.0,0.67,0.5,100.0
burkholderia,1,2,1.0,0.715,0.5,100.0
sinorhizobium,1,2,1.0,0.82,0.5,100.0
shewanella,2,5,1.0,0.174,0.583,100.0
enterobacter,2,5,1.0,0.531,0.583,100.0
serratia,1,2,1.0,0.395,0.5,100.0
rhodococcus,1,3,1.0,0.587,0.667,100.0
rhizobium,1,2,1.0,0.74,0.5,100.0
pantoea,1,2,1.0,0.745,0.5,100.0
listeria,1,3,1.0,0.34,0.667,100.0
lactobacillus,2,4,1.0,0.742,0.5,100.0
clostridium,2,6,0.875,0.541,0.5,100.0
leuconostoc,2,8,0.75,0.442,0.417,50.0
yersinia,1,4,0.75,0.408,0.5,100.0
staphylococcus,24,130,0.738,0.202,0.388,66.667
vibrio,14,63,0.737,0.104,0.313,57.143
shigella,3,18,0.674,0.288,0.449,66.667
enterococcus,2,10,0.667,0.572,0.111,50.0
enterovibrio,1,5,0.6,0.096,0.4,0.0
citrobacter,1,5,0.6,0.356,0.4,0.0
bacillus,7,52,0.56,0.313,0.373,42.857
proteus,1,6,0.5,0.357,0.333,0.0
cronobacter,1,6,0.5,0.303,0.333,0.0
pseudomonas,3,43,0.398,0.237,0.265,0.0
klebsiella,1,13,0.231,0.136,0.154,0.0
lactococcus,1,15,0.2,0.157,0.133,0.0
acinetobacter,1,17,0.176,0.125,0.118,0.0
gordonia,1,22,0.136,0.123,0.091,0.0
salmonella,1,31,0.097,0.074,0.065,0.0
escherichia,1,83,0.036,0.029,0.024,0.0
