species,genus,n_pairs,n_positive,n_strains,pos_rate,s_topk_cov@1,s_greedy_cov@1,s_divgr_cov@1,greedy_phages@1,s_random_cov@1,s_random_cov_std@1,s_greedy_robust@1,s_greedy_covdrop@1,i_greedy_cov@1,i_random_cov@1,s_topk_cov@2,s_greedy_cov@2,s_divgr_cov@2,greedy_phages@2,s_random_cov@2,s_random_cov_std@2,s_greedy_robust@2,s_greedy_covdrop@2,i_greedy_cov@2,i_random_cov@2,s_topk_cov@3,s_greedy_cov@3,s_divgr_cov@3,greedy_phages@3,s_random_cov@3,s_random_cov_std@3,s_greedy_robust@3,s_greedy_covdrop@3,i_greedy_cov@3,i_random_cov@3,s_topk_cov@4,s_greedy_cov@4,s_divgr_cov@4,greedy_phages@4,s_random_cov@4,s_random_cov_std@4,s_greedy_robust@4,s_greedy_covdrop@4,i_greedy_cov@4,i_random_cov@4,s_topk_cov@5,s_greedy_cov@5,s_divgr_cov@5,greedy_phages@5,s_random_cov@5,s_random_cov_std@5,s_greedy_robust@5,s_greedy_covdrop@5,i_greedy_cov@5,i_random_cov@5,s_greedy_marginal@1,s_greedy_marginal@2,s_greedy_marginal@3,s_greedy_marginal@4,s_greedy_marginal@5
achromobacter xylosoxidans,achromobacter,8,7,3,0.875,0.3333333333333333,0.3333333333333333,0.3333333333333333,nc 029106,0.29,0.11210114480533494,0.0,0.3333333333333333,0.14285714285714285,0.12714285714285709,0.3333333333333333,0.6666666666666666,0.6666666666666666,nc 029106|nc 023556,0.4866666666666667,0.1661324772583615,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2499999999999999,0.3333333333333333,1.0,1.0,nc 029106|nc 023556|nc 029033,0.5833333333333333,0.19649710204252663,0.6666666666666666,0.33333333333333337,0.42857142857142855,0.3671428571428571,0.3333333333333333,1.0,1.0,nc 029106|nc 023556|nc 029033,0.65,0.20749832663314555,0.6666666666666666,0.33333333333333337,0.42857142857142855,0.49857142857142844,0.6666666666666666,1.0,1.0,nc 029106|nc 023556|nc 029033,0.7533333333333335,0.21406125810669768,0.6666666666666666,0.33333333333333337,0.42857142857142855,0.627142857142857,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.0,0.0
acinetobacter baumannii,acinetobacter,39,35,17,0.8974358974358975,0.058823529411764705,0.058823529411764705,0.058823529411764705,nc 018087,0.05294117647058823,0.017647058823529408,0.0,0.058823529411764705,0.02857142857142857,0.025999999999999995,0.11764705882352941,0.11764705882352941,0.11764705882352941,nc 018087|nc 027332,0.08705882352941177,0.0305429529076404,0.058823529411764705,0.058823529411764705,0.05714285714285714,0.05285714285714285,0.17647058823529413,0.17647058823529413,0.17647058823529413,nc 018087|nc 027332|nc 041857,0.1252941176470588,0.04213588169187346,0.11764705882352941,0.05882352941176472,0.08571428571428572,0.07942857142857143,0.17647058823529413,0.23529411764705882,0.23529411764705882,nc 018087|nc 027332|nc 041857|nc 041998,0.16294117647058823,0.050502663604426526,0.17647058823529413,0.05882352941176469,0.11428571428571428,0.10057142857142858,0.17647058823529413,0.29411764705882354,0.29411764705882354,nc 018087|nc 027332|nc 041857|nc 041998|nc 024785,0.19176470588235295,0.06148114179037139,0.23529411764705882,0.05882352941176472,0.14285714285714285,0.1257142857142857,0.058823529411764705,0.058823529411764705,0.05882352941176472,0.05882352941176469,0.05882352941176472
aeromonas hydrophila,aeromonas,5,3,2,0.6,0.5,0.5,0.5,nc 019538,0.285,0.24753787588973125,0.0,0.5,0.3333333333333333,0.21333333333333332,0.5,1.0,1.0,nc 019538|nc 025459,0.575,0.248746859276655,0.5,0.5,0.6666666666666666,0.3933333333333333,1.0,1.0,1.0,nc 019538|nc 025459,0.745,0.24994999499899975,0.5,0.5,0.6666666666666666,0.59,1.0,1.0,1.0,nc 019538|nc 025459,0.865,0.22197972880423114,0.5,0.5,0.6666666666666666,0.8000000000000002,1.0,1.0,1.0,nc 019538|nc 025459,1.0,0.0,0.5,0.5,0.6666666666666666,1.0,0.5,0.5,0.0,0.0,0.0
aeromonas salmonicida,aeromonas,13,11,1,0.8461538461538461,1.0,1.0,1.0,nc 019527,0.89,0.31288975694324034,0.0,1.0,0.09090909090909091,0.08090909090909093,1.0,1.0,1.0,nc 019527,0.98,0.13999999999999999,0.0,1.0,0.09090909090909091,0.15181818181818182,1.0,1.0,1.0,nc 019527,1.0,0.0,0.0,1.0,0.09090909090909091,0.23454545454545456,1.0,1.0,1.0,nc 019527,1.0,0.0,0.0,1.0,0.09090909090909091,0.31545454545454543,1.0,1.0,1.0,nc 019527,1.0,0.0,0.0,1.0,0.09090909090909091,0.3809090909090909,1.0,0.0,0.0,0.0,0.0
bacillus anthracis,bacillus,12,10,4,0.8333333333333334,0.25,0.25,0.25,nc 007814,0.22,0.08124038404635961,0.0,0.25,0.1,0.07499999999999998,0.25,0.5,0.5,nc 007814|nc 020873,0.3625,0.13404756618454514,0.25,0.25,0.2,0.17099999999999999,0.25,0.75,0.75,nc 007814|nc 020873|nc 028982,0.52,0.15684387141358122,0.5,0.25,0.3,0.254,0.25,1.0,1.0,nc 007814|nc 020873|nc 028982|nc 025423,0.5725,0.17781661902083282,0.75,0.25,0.4,0.34099999999999997,0.5,1.0,1.0,nc 007814|nc 020873|nc 028982|nc 025423,0.7075,0.1622305458290762,0.75,0.25,0.4,0.3989999999999999,0.25,0.25,0.25,0.25,0.0
bacillus cereus,bacillus,33,23,9,0.696969696969697,0.1111111111111111,0.1111111111111111,0.1111111111111111,nc 004821,0.07666666666666667,0.05138813813265412,0.0,0.1111111111111111,0.043478260869565216,0.03217391304347826,0.1111111111111111,0.2222222222222222,0.2222222222222222,nc 004821|nc 031055,0.1411111111111111,0.0682316316348624,0.1111111111111111,0.1111111111111111,0.08695652173913043,0.06000000000000001,0.2222222222222222,0.3333333333333333,0.3333333333333333,nc 004821|nc 031055|nc 031056,0.1811111111111111,0.07802342161804782,0.2222222222222222,0.1111111111111111,0.13043478260869565,0.08695652173913042,0.2222222222222222,0.4444444444444444,0.4444444444444444,nc 004821|nc 031055|nc 031056|nc 027355,0.23000000000000004,0.0878480731184087,0.3333333333333333,0.1111111111111111,0.17391304347826086,0.12304347826086957,0.2222222222222222,0.5555555555555556,0.5555555555555556,nc 004821|nc 031055|nc 031056|nc 027355|nc 028789,0.2744444444444445,0.09994442900376632,0.4444444444444444,0.11111111111111116,0.21739130434782608,0.1534782608695652,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.11111111111111116
bacillus megaterium,bacillus,25,16,6,0.64,0.16666666666666666,0.16666666666666666,0.16666666666666666,nc 027374,0.07833333333333332,0.0831831980897852,0.0,0.16666666666666666,0.0625,0.034375,0.3333333333333333,0.3333333333333333,0.3333333333333333,nc 027374|nc 023719,0.19666666666666666,0.11150485789118486,0.16666666666666666,0.16666666666666666,0.125,0.078125,0.5,0.5,0.5,nc 027374|nc 023719|nc 028856,0.2916666666666667,0.125554326444328,0.3333333333333333,0.16666666666666669,0.1875,0.12875,0.5,0.6666666666666666,0.6666666666666666,nc 027374|nc 023719|nc 028856|nc 022774,0.3350000000000001,0.13843369853070056,0.5,0.16666666666666663,0.25,0.1575,0.6666666666666666,0.8333333333333334,0.8333333333333334,nc 027374|nc 023719|nc 028856|nc 022774|nc 042140,0.4116666666666666,0.13219304066402288,0.6666666666666666,0.16666666666666674,0.3125,0.1875,0.16666666666666666,0.16666666666666666,0.16666666666666669,0.16666666666666663,0.16666666666666674
bacillus pumilus,bacillus,14,10,4,0.7142857142857143,0.25,0.25,0.25,nc 041858,0.175,0.11456439237389598,0.0,0.25,0.1,0.07299999999999998,0.25,0.5,0.5,nc 041858|nc 022765,0.3125,0.1340475661845451,0.25,0.25,0.2,0.153,0.25,0.75,0.75,nc 041858|nc 022765|nc 020081,0.44,0.1662828914831589,0.5,0.25,0.3,0.20700000000000002,0.25,1.0,1.0,nc 041858|nc 022765|nc 020081|nc 029121,0.5,0.1767766952966369,0.75,0.25,0.4,0.278,0.25,1.0,1.0,nc 041858|nc 022765|nc 020081|nc 029121,0.59,0.1786057109949175,0.75,0.25,0.4,0.3599999999999999,0.25,0.25,0.25,0.25,0.0
bacillus subtilis,bacillus,41,21,7,0.5121951219512195,0.14285714285714285,0.14285714285714285,0.14285714285714285,nc 020883,0.07857142857142857,0.07107053122190142,0.0,0.14285714285714285,0.047619047619047616,0.02666666666666666,0.14285714285714285,0.2857142857142857,0.2857142857142857,nc 020883|nc 021856,0.15285714285714286,0.10152912520703664,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.05428571428571427,0.2857142857142857,0.42857142857142855,0.42857142857142855,nc 020883|nc 021856|nc 030903,0.20714285714285707,0.09340497736158586,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.07476190476190477,0.42857142857142855,0.5714285714285714,0.5714285714285714,nc 020883|nc 021856|nc 030903|nc 043027,0.25142857142857133,0.11972758194146835,0.42857142857142855,0.14285714285714285,0.19047619047619047,0.09761904761904759,0.5714285714285714,0.7142857142857143,0.7142857142857143,nc 020883|nc 021856|nc 030903|nc 043027|nc 031039,0.3042857142857142,0.12397333485512937,0.5714285714285714,0.1428571428571429,0.23809523809523808,0.12809523809523807,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.1428571428571429
bacillus thuringiensis,bacillus,45,41,19,0.9111111111111111,0.05263157894736842,0.05263157894736842,0.05263157894736842,nc 031121,0.04842105263157894,0.014278589438158459,0.0,0.05263157894736842,0.024390243902439025,0.02121951219512195,0.10526315789473684,0.10526315789473684,0.10526315789473684,nc 031121|nc 019502,0.09210526315789473,0.022790142204853647,0.05263157894736842,0.05263157894736842,0.04878048780487805,0.04560975609756098,0.15789473684210525,0.15789473684210525,0.15789473684210525,nc 031121|nc 019502|nc 018085,0.1321052631578947,0.03022995890689343,0.10526315789473684,0.05263157894736842,0.07317073170731707,0.06682926829268292,0.21052631578947367,0.21052631578947367,0.21052631578947367,nc 031121|nc 019502|nc 018085|nc 028748,0.1710526315789474,0.0352081267375254,0.15789473684210525,0.05263157894736842,0.0975609756097561,0.0892682926829268,0.2631578947368421,0.2631578947368421,0.2631578947368421,nc 031121|nc 019502|nc 018085|nc 028748|nc 023599,0.2031578947368421,0.04589521969808766,0.21052631578947367,0.05263157894736842,0.12195121951219512,0.11073170731707316,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
