,phage,host
0,nc 001341,acholeplasma laidlawii
1,nc 001447,acholeplasma laidlawii
2,nc 023556,achromobacter xylosoxidans
3,nc 028695,achromobacter xylosoxidans
4,nc 028768,achromobacter xylosoxidans
5,nc 028834,achromobacter xylosoxidans
6,nc 028908,achromobacter xylosoxidans
7,nc 029033,achromobacter xylosoxidans
8,nc 029075,achromobacter xylosoxidans
9,nc 029106,achromobacter xylosoxidans
10,nc 041997,acidovorax citrulli
11,nc 017984,acinetobacter baumannii
12,nc 018087,acinetobacter baumannii
13,nc 019541,acinetobacter baumannii
14,nc 021316,acinetobacter baumannii
15,nc 023570,acinetobacter baumannii
16,nc 023581,acinetobacter baumannii
17,nc 023590,acinetobacter baumannii
18,nc 024785,acinetobacter baumannii
19,nc 025457,acinetobacter baumannii
20,nc 025462,acinetobacter baumannii
21,nc 027332,acinetobacter baumannii
22,nc 028675,acinetobacter baumannii
23,nc 028679,acinetobacter baumannii
24,nc 028684,acinetobacter baumannii
25,nc 028695,acinetobacter baumannii
26,nc 028848,acinetobacter baumannii
27,nc 028908,acinetobacter baumannii
28,nc 028987,acinetobacter baumannii
29,nc 029033,acinetobacter baumannii
30,nc 029106,acinetobacter baumannii
31,nc 031086,acinetobacter baumannii
32,nc 031098,acinetobacter baumannii
33,nc 031117,acinetobacter baumannii
34,nc 031280,acinetobacter baumannii
35,nc 041857,acinetobacter baumannii
36,nc 041884,acinetobacter baumannii
37,nc 041905,acinetobacter baumannii
38,nc 041914,acinetobacter baumannii
39,nc 041915,acinetobacter baumannii
40,nc 041924,acinetobacter baumannii
41,nc 041966,acinetobacter baumannii
42,nc 041967,acinetobacter baumannii
43,nc 041998,acinetobacter baumannii
44,nc 042003,acinetobacter baumannii
45,nc 042004,acinetobacter baumannii
46,nc 042005,acinetobacter baumannii
47,nc 042028,acinetobacter baumannii
48,nc 042124,acinetobacter baumannii
49,nc 042137,acinetobacter baumannii
50,nc 014661,acinetobacter johnsonii
51,nc 014663,acinetobacter johnsonii
52,nc 015250,acinetobacter johnsonii
53,nc 042006,acinetobacter pittii
54,nc 042007,acinetobacter pittii
55,nc 028995,acinetobacter soli
56,nc 009643,actinomyces naeslundii
57,nc 005260,aeromonas hydrophila
58,nc 019538,aeromonas hydrophila
59,nc 025459,aeromonas hydrophila
60,nc 028795,aeromonas hydrophila
61,nc 029102,aeromonas hydrophila
62,nc 009542,aeromonas media
63,nc 005135,aeromonas salmonicida
64,nc 007022,aeromonas salmonicida
65,nc 008208,aeromonas salmonicida
66,nc 014635,aeromonas salmonicida
67,nc 014636,aeromonas salmonicida
68,nc 015251,aeromonas salmonicida
69,nc 019527,aeromonas salmonicida
70,nc 019528,aeromonas salmonicida
71,nc 019543,aeromonas salmonicida
72,nc 023688,aeromonas salmonicida
73,nc 028795,aeromonas salmonicida
74,nc 029102,aeromonas salmonicida
75,nc 042019,aeromonas salmonicida
76,nc 013597,aggregatibacter actinomycetemcomitans
77,nc 042013,agrobacterium tumefaciens
78,mg592390.1,aliivibrio fischeri
79,mg592391.1,aliivibrio fischeri
80,mg592392.1,aliivibrio fischeri
81,mg592393.1,aliivibrio fischeri
82,mg592394.1,aliivibrio fischeri
83,mg592395.1,aliivibrio fischeri
84,mg592396.1,aliivibrio fischeri
85,mg592397.1,aliivibrio fischeri
86,mg592398.1,aliivibrio fischeri
87,mg592399.1,aliivibrio fischeri
88,mg592400.1,aliivibrio fischeri
89,mg592401.1,aliivibrio fischeri
90,mg592402.1,aliivibrio fischeri
91,mg592403.1,aliivibrio fischeri
92,mg592406.1,aliivibrio fischeri
93,mg592407.1,aliivibrio fischeri
94,mg592408.1,aliivibrio fischeri
95,mg592409.1,aliivibrio fischeri
96,mg592410.1,aliivibrio fischeri
97,mg592411.1,aliivibrio fischeri
98,mg592412.1,aliivibrio fischeri
99,mg592413.1,aliivibrio fischeri
100,mg592414.1,aliivibrio fischeri
101,mg592415.1,aliivibrio fischeri
102,mg592416.1,aliivibrio fischeri
103,mg592417.1,aliivibrio fischeri
104,mg592418.1,aliivibrio fischeri
105,mg592420.1,aliivibrio fischeri
106,mg592421.1,aliivibrio fischeri
107,mg592422.1,aliivibrio fischeri
108,mg592423.1,aliivibrio fischeri
109,mg592424.1,aliivibrio fischeri
110,mg592425.1,aliivibrio fischeri
111,mg592426.1,aliivibrio fischeri
112,mg592427.1,aliivibrio fischeri
113,mg592428.1,aliivibrio fischeri
114,mg592429.1,aliivibrio fischeri
115,mg592430.1,aliivibrio fischeri
116,mg592431.1,aliivibrio fischeri
117,mg592432.1,aliivibrio fischeri
118,mg592433.1,aliivibrio fischeri
119,mg592434.1,aliivibrio fischeri
120,mg592435.1,aliivibrio fischeri
121,mg592436.1,aliivibrio fischeri
122,mg592437.1,aliivibrio fischeri
123,mg592438.1,aliivibrio fischeri
124,mg592439.1,aliivibrio fischeri
125,mg592440.1,aliivibrio fischeri
126,mg592441.1,aliivibrio fischeri
127,mg592442.1,aliivibrio fischeri
128,mg592443.1,aliivibrio fischeri
129,mg592444.1,aliivibrio fischeri
130,mg592445.1,aliivibrio fischeri
131,mg592446.1,aliivibrio fischeri
132,mg592447.1,aliivibrio fischeri
133,mg592448.1,aliivibrio fischeri
134,mg592449.1,aliivibrio fischeri
135,mg592450.1,aliivibrio fischeri
136,mg592451.1,aliivibrio fischeri
137,mg592452.1,aliivibrio fischeri
138,mg592453.1,aliivibrio fischeri
139,mg592454.1,aliivibrio fischeri
140,mg592455.1,aliivibrio fischeri
141,mg592456.1,aliivibrio fischeri
142,mg592457.1,aliivibrio fischeri
143,mg592458.1,aliivibrio fischeri
144,mg592459.1,aliivibrio fischeri
145,mg592460.1,aliivibrio fischeri
146,mg592461.1,aliivibrio fischeri
147,mg592462.1,aliivibrio fischeri
148,mg592463.1,aliivibrio fischeri
149,mg592464.1,aliivibrio fischeri
150,mg592465.1,aliivibrio fischeri
151,mg592466.1,aliivibrio fischeri
152,mg592467.1,aliivibrio fischeri
153,mg592468.1,aliivibrio fischeri
154,mg592469.1,aliivibrio fischeri
155,mg592470.1,aliivibrio fischeri
156,mg592471.1,aliivibrio fischeri
157,mg592472.1,aliivibrio fischeri
158,mg592473.1,aliivibrio fischeri
159,mg592474.1,aliivibrio fischeri
160,mg592475.1,aliivibrio fischeri
161,mg592476.1,aliivibrio fischeri
162,mg592477.1,aliivibrio fischeri
163,mg592478.1,aliivibrio fischeri
164,mg592480.1,aliivibrio fischeri
165,mg592482.1,aliivibrio fischeri
166,mg592483.1,aliivibrio fischeri
167,mg592484.1,aliivibrio fischeri
168,mg592486.1,aliivibrio fischeri
169,mg592487.1,aliivibrio fischeri
170,mg592488.1,aliivibrio fischeri
171,mg592490.1,aliivibrio fischeri
172,mg592492.1,aliivibrio fischeri
173,mg592494.1,aliivibrio fischeri
174,mg592495.1,aliivibrio fischeri
175,mg592496.1,aliivibrio fischeri
176,mg592498.1,aliivibrio fischeri
177,mg592499.1,aliivibrio fischeri
178,mg592500.1,aliivibrio fischeri
179,mg592501.1,aliivibrio fischeri
180,mg592502.1,aliivibrio fischeri
181,mg592503.1,aliivibrio fischeri
182,mg592504.1,aliivibrio fischeri
183,mg592505.1,aliivibrio fischeri
184,mg592506.1,aliivibrio fischeri
185,mg592507.1,aliivibrio fischeri
186,mg592508.1,aliivibrio fischeri
187,mg592509.1,aliivibrio fischeri
188,mg592511.1,aliivibrio fischeri
189,mg592512.1,aliivibrio fischeri
190,mg592513.1,aliivibrio fischeri
191,mg592514.1,aliivibrio fischeri
192,mg592515.1,aliivibrio fischeri
193,mg592516.1,aliivibrio fischeri
194,mg592517.1,aliivibrio fischeri
195,mg592518.1,aliivibrio fischeri
196,mg592519.1,aliivibrio fischeri
197,mg592520.1,aliivibrio fischeri
198,mg592521.1,aliivibrio fischeri
199,mg592522.1,aliivibrio fischeri
200,mg592523.1,aliivibrio fischeri
201,mg592524.1,aliivibrio fischeri
202,mg592525.1,aliivibrio fischeri
203,mg592526.1,aliivibrio fischeri
204,mg592527.1,aliivibrio fischeri
205,mg592528.1,aliivibrio fischeri
206,mg592529.1,aliivibrio fischeri
207,mg592530.1,aliivibrio fischeri
208,mg592531.1,aliivibrio fischeri
209,mg592532.1,aliivibrio fischeri
210,mg592533.1,aliivibrio fischeri
211,mg592534.1,aliivibrio fischeri
212,mg592535.1,aliivibrio fischeri
213,mg592536.1,aliivibrio fischeri
214,mg592537.1,aliivibrio fischeri
215,mg592538.1,aliivibrio fischeri
216,mg592539.1,aliivibrio fischeri
217,mg592540.1,aliivibrio fischeri
218,mg592541.1,aliivibrio fischeri
219,mg592542.1,aliivibrio fischeri
220,mg592543.1,aliivibrio fischeri
221,mg592544.1,aliivibrio fischeri
222,mg592545.1,aliivibrio fischeri
223,mg592546.1,aliivibrio fischeri
224,mg592547.1,aliivibrio fischeri
225,mg592548.1,aliivibrio fischeri
226,mg592549.1,aliivibrio fischeri
227,mg592550.1,aliivibrio fischeri
228,mg592551.1,aliivibrio fischeri
229,mg592552.1,aliivibrio fischeri
230,mg592553.1,aliivibrio fischeri
231,mg592554.1,aliivibrio fischeri
232,mg592559.1,aliivibrio fischeri
233,mg592560.1,aliivibrio fischeri
234,mg592561.1,aliivibrio fischeri
235,mg592562.1,aliivibrio fischeri
236,mg592563.1,aliivibrio fischeri
237,mg592564.1,aliivibrio fischeri
238,mg592565.1,aliivibrio fischeri
239,mg592566.1,aliivibrio fischeri
240,mg592567.1,aliivibrio fischeri
241,mg592569.1,aliivibrio fischeri
242,mg592571.1,aliivibrio fischeri
