genus,roc_auc,pr_auc,f1,mcc,n_test
acholeplasma_laidlawii,1.0,1.0,1.0,1.0,19
achromobacter_xylosoxidans,1.0,1.0,1.0,1.0,26
acinetobacter_baumannii,1.0,1.0,1.0,1.0,62
acinetobacter_johnsonii,1.0,1.0,1.0,1.0,35
acinetobacter_pittii,1.0,1.0,1.0,1.0,20
aeromonas_hydrophila,1.0,1.0,1.0,1.0,28
aeromonas_salmonicida,1.0,1.0,1.0,1.0,42
aliivibrio,0.9982698961937716,0.7916666666666666,0.0,0.0,291
bacillus_anthracis,0.9962962962962963,0.9904545454545456,0.9523809523809524,0.9356392870229826,37
bacillus_cereus,1.0,1.0,0.9302325581395348,0.8949387307563464,58
bacillus_megaterium,0.9791666666666666,0.944455488343356,0.9696969696969696,0.9538364228569944,46
bacillus_pumilus,1.0,1.0,1.0,1.0,34
bacillus_subtilis,0.9967532467532468,0.9930160900085712,0.9545454545454546,0.9335638713962128,65
bacillus_thuringiensis,1.0,1.0,0.8767123287671232,0.7534105749568178,65
bacillus_weihenstephanensis,1.0,1.0,0.8,0.8027729719194864,32
bacteroides_fragilis,1.0,1.0,1.0,1.0,16
bdellovibrio_bacteriovorus,1.0,1.0,1.0,1.0,21
brevibacillus_laterosporus,1.0,1.0,0.9333333333333332,0.9172492321316784,33
brochothrix_thermosphacta,1.0,1.0,0.8,0.8006407690254357,28
brucella_abortus,1.0,1.0,1.0,1.0,21
brucella_melitensis,1.0,1.0,1.0,1.0,22
burkholderia_ambifaria,1.0,1.0,1.0,1.0,23
burkholderia_cenocepacia,1.0,1.0,1.0,1.0,35
burkholderia_cepacia,1.0,1.0,1.0,1.0,26
burkholderia_pseudomallei,1.0,1.0,1.0,1.0,22
burkholderia_thailandensis,1.0,1.0,1.0,1.0,24
campylobacter_jejuni,1.0,1.0,1.0,1.0,22
caulobacter_crescentus,1.0,1.0,1.0,1.0,23
cellulophaga_baltica,1.0,1.0,0.875,0.8015685106681062,37
chlamydia_psittaci,1.0,1.0,1.0,1.0,28
citrobacter_freundii,1.0,1.0,0.9629629629629628,0.9462600928208408,41
citrobacter_rodentium,1.0,1.0,1.0,1.0,28
clavibacter_michiganensis,1.0,1.0,1.0,1.0,18
clostridium_difficile,1.0,1.0,0.967741935483871,0.9409658158863512,33
clostridium_perfringens,1.0,1.0,1.0,1.0,38
clostridium_tetani,1.0,1.0,1.0,1.0,30
corynebacterium_glutamicum,1.0,1.0,1.0,1.0,25
corynebacterium_vitaeruminis,1.0,1.0,1.0,1.0,16
croceibacter_atlanticus,1.0,1.0,1.0,1.0,22
cronobacter_dublinensis,1.0,1.0,1.0,1.0,26
cronobacter_malonaticus,1.0,1.0,1.0,1.0,20
cronobacter_sakazakii,0.9974358974358974,0.9956944444444444,0.967741935483871,0.9494431566409376,41
cronobacter_turicensis,1.0,1.0,1.0,1.0,20
dinoroseobacter_shibae,1.0,1.0,1.0,1.0,30
edwardsiella_ictaluri,1.0,1.0,1.0,1.0,26
enterobacter_aerogenes,0.9848484848484848,0.8708333333333333,0.75,0.7196969696969697,37
enterobacter_cloacae,1.0,1.0,1.0,1.0,33
enterococcus_faecalis,1.0,1.0,1.0,1.0,66
enterococcus_faecium,1.0,1.0,1.0,1.0,24
enterovibrio,0.9578313253012049,0.6732298428655223,0.4444444444444444,0.4877341292686034,269
erwinia_amylovora,1.0,1.0,0.9803921568627452,0.9590268199959644,48
escherichia_coli,0.9884572072072072,0.9972300347611782,0.9655172413793104,0.8276559823378753,270
flavobacterium_columnare,1.0,1.0,1.0,1.0,16
flavobacterium_psychrophilum,1.0,1.0,1.0,1.0,40
gordonia_malaquae,1.0,1.0,1.0,1.0,34
gordonia_terrae,1.0,0.9999999999999998,0.9411764705882352,0.8333333333333334,88
haemophilus_influenzae,1.0,1.0,1.0,1.0,22
helicobacter_pylori,1.0,1.0,1.0,1.0,25
klebsiella_oxytoca,1.0,1.0,0.8571428571428571,0.8416254115301732,21
klebsiella_pneumoniae,1.0,1.0,0.9836065573770492,0.954366773981019,47
lactobacillus_casei,1.0,1.0,1.0,1.0,32
lactobacillus_delbrueckii,1.0,1.0,1.0,1.0,25
lactobacillus_fermentum,1.0,1.0,1.0,1.0,32
lactobacillus_gasseri,1.0,1.0,1.0,1.0,28
lactobacillus_johnsonii,1.0,1.0,1.0,1.0,15
lactobacillus_paracasei,1.0,0.9999999999999998,1.0,1.0,23
lactobacillus_plantarum,1.0,1.0,0.0,0.0,20
lactobacillus_rhamnosus,1.0,1.0,1.0,1.0,15
lactococcus_garvieae,1.0,1.0,1.0,1.0,26
lactococcus_lactis,0.9952830188679246,0.9977775353568386,0.9306930693069309,0.8078770871991594,77
leuconostoc_mesenteroides,0.8125,0.5270054598179599,0.7619047619047619,0.6895828271676111,30
leuconostoc_pseudomesenteroides,0.8181818181818181,0.3479365079365079,0.7142857142857143,0.6741998624632421,27
listeria_monocytogenes,1.0,1.0,0.96,0.9381594281897148,67
mannheimia_haemolytica,1.0,1.0,1.0,1.0,33
microbacterium_foliorum,1.0,0.9999999999999998,1.0,1.0,31
mycobacterium_avium,1.0,1.0,1.0,1.0,25
mycobacterium_smegmatis,1.0,1.0,0.8404802744425386,0.420467820469324,368
mycobacterium_tuberculosis,1.0,1.0,1.0,1.0,23
paenibacillus_larvae,1.0,0.9999999999999998,1.0,1.0,36
pantoea_agglomerans,1.0,1.0,1.0,1.0,26
pectobacterium_atrosepticum,1.0,1.0,1.0,1.0,24
pectobacterium_carotovorum,1.0,1.0,1.0,1.0,19
prochlorococcus_marinus,1.0,1.0,0.9090909090909092,0.8958064164776167,32
propionibacterium_acnes,1.0,0.9999999999999998,1.0,1.0,84
propionibacterium_freudenreichii,1.0,1.0,1.0,1.0,36
proteus_mirabilis,1.0,1.0,0.9,0.8581163303210332,29
pseudoalteromonas_marina,1.0,1.0,1.0,1.0,20
pseudomonas_aeruginosa,1.0,1.0,0.996138996138996,0.98259277703867,166
pseudomonas_fluorescens,1.0,1.0,1.0,1.0,31
pseudomonas_putida,1.0,1.0,1.0,1.0,34
pseudomonas_syringae,1.0,1.0,1.0,1.0,45
pseudomonas_tolaasii,1.0,1.0,1.0,1.0,31
ralstonia_solanacearum,1.0,1.0,1.0,1.0,37
rhizobium_etli,1.0,1.0,1.0,1.0,23
rhizobium_leguminosarum,1.0,1.0,1.0,1.0,24
rhizobium_radiobacter,1.0,1.0,1.0,1.0,20
rhodobacter_capsulatus,1.0,1.0,0.9230769230769232,0.8997354108424374,24
rhodococcus_equi,1.0,1.0,0.9333333333333332,0.9117291264405234,27
rhodococcus_erythropolis,1.0,1.0,1.0,1.0,30
roseobacter_denitrificans,1.0,1.0,1.0,1.0,27
ruegeria_pomeroyi,1.0,1.0,1.0,1.0,20
salinibacter_ruber,1.0,1.0,1.0,1.0,23
salmonella_enterica,1.0,1.0,0.9864864864864864,0.962800149036199,115
salmonella_enteritidis,1.0,1.0,1.0,1.0,18
salmonella_gallinarum,1.0,1.0,1.0,1.0,26
salmonella_paratyphi,1.0,1.0,1.0,1.0,24
salmonella_serovar,1.0,1.0,1.0,1.0,26
salmonella_typhimurium,1.0,1.0,1.0,1.0,34
serratia_marcescens,1.0,1.0,1.0,1.0,32
shewanella,0.9901233354626308,0.7513162319593923,0.04,0.0732365878260455,913
shigella_boydii,0.9733333333333332,0.7638888888888888,0.75,0.7429670248402683,28
shigella_flexneri,0.9879310344827588,0.9836448416825992,0.9230769230769232,0.873076487447726,49
shigella_sonnei,0.9965277777777778,0.9933226495726496,0.96,0.9405399431259605,36
sinorhizobium_meliloti,1.0,1.0,0.8333333333333334,0.809173593712687,29
sodalis_glossinidius,1.0,1.0,1.0,1.0,19
spiroplasma_citri,1.0,1.0,1.0,1.0,26
staphylococcus_aureus,0.9676770801113516,0.9804186639988426,0.8111111111111111,0.6516500845012845,167
staphylococcus_auricularis,0.9722222222222224,0.65,0.2857142857142857,0.2436626616960958,58
staphylococcus_capitis,0.875,0.6855573814995788,0.1052631578947368,0.1974496259196974,58
staphylococcus_caprae,0.4821428571428571,0.0327956989247311,0.0,-0.0700140042014004,58
staphylococcus_chromogenes,0.965625,0.9480959663544803,0.5714285714285714,0.5393598899705937,52
staphylococcus_cohnii,0.88671875,0.6743350963134708,0.1176470588235294,0.2182178902359923,64
staphylococcus_epidermidis,0.8241758241758242,0.8011916218479131,0.4444444444444444,0.4172614801981401,74
staphylococcus_equorum,0.964102564102564,0.9366268959511994,0.5185185185185185,0.5123475382979799,59
staphylococcus_fleuretti,0.9489795918367347,0.7675170068027211,0.0,0.0,63
staphylococcus_haemolyticus,0.8690476190476191,0.5297413793103448,0.2857142857142857,0.3911591293589788,62
staphylococcus_hominis,1.0,1.0,1.0,1.0,61
staphylococcus_hyicus,0.9411764705882352,0.5961309523809524,0.2222222222222222,0.175164618081796,57
staphylococcus_kloosii,0.8126934984520124,0.6194573778194555,0.4166666666666667,0.3348410542678057,55
staphylococcus_lentus,0.7978260869565217,0.43014592760181,0.25,0.139979294535123,56
staphylococcus_lugdunensis,0.8857142857142857,0.84217347743361,0.5625,0.4870497545299413,57
staphylococcus_pasteuri,0.9114583333333334,0.1859307359307359,0.0,0.0,67
staphylococcus_pettenkoferi,0.8526785714285715,0.4560857963875205,0.25,0.1964285714285714,60
staphylococcus_saprophyticus,0.7318840579710144,0.4167718855218855,0.5,0.5651941652604391,49
staphylococcus_schleiferi,0.8725,0.8178224575716676,0.3333333333333333,0.3508232077228116,57
staphylococcus_sciuri,0.7329032258064516,0.6246801717675756,0.2424242424242424,0.0439941345064059,56
staphylococcus_succinus,0.9022556390977444,0.6773218056221364,0.1,0.1961931491349236,68
staphylococcus_vitulinus,0.9885057471264368,0.9917226664050622,0.0,0.0,56
staphylococcus_warneri,0.8472222222222221,0.217742673992674,0.3333333333333333,0.3214653124210248,58
staphylococcus_xylosus,0.9967532467532468,0.9960991617395556,0.303030303030303,0.3243911093675884,61
streptococcus_mutans,1.0,1.0,1.0,1.0,26
streptococcus_pyogenes,1.0,1.0,1.0,1.0,29
streptococcus_suis,1.0,1.0,1.0,1.0,35
streptococcus_thermophilus,1.0,1.0,1.0,1.0,40
streptomyces_avermitilis,1.0,1.0,1.0,1.0,23
streptomyces_coelicolor,1.0,1.0,1.0,1.0,20
streptomyces_flavovirens,1.0,1.0,1.0,1.0,19
streptomyces_griseus,1.0,1.0,1.0,1.0,41
streptomyces_lividans,1.0,0.9999999999999998,1.0,1.0,22
streptomyces_venezuelae,1.0,1.0,1.0,1.0,23
streptomyces_viridochromogenes,1.0,1.0,1.0,1.0,18
thermus_thermophilus,1.0,1.0,1.0,1.0,29
tsukamurella_paurometabola,0.96875,0.7916666666666666,0.5,0.4375,18
vibrio,0.6975771076187813,0.3005304153478773,0.2161865569272976,-0.0070944623092517,8220
vibrio_alginolyticus,1.0,1.0,1.0,1.0,21
vibrio_cholerae,1.0,0.9999999999999998,1.0,1.0,45
vibrio_harveyi,1.0,1.0,1.0,1.0,29
vibrio_natriegens,1.0,1.0,1.0,1.0,27
vibrio_parahaemolyticus,0.9983164983164984,0.9969948018193632,0.972972972972973,0.958467676597046,51
vibrio_splendidus,1.0,1.0,1.0,1.0,26
vibrio_vulnificus,1.0,1.0,1.0,1.0,21
xanthomonas_arboricola,1.0,1.0,1.0,1.0,24
xanthomonas_campestris,1.0,1.0,1.0,1.0,25
xanthomonas_citri,1.0,1.0,1.0,1.0,15
xanthomonas_oryzae,1.0,1.0,1.0,1.0,27
xylella_fastidiosa,1.0,1.0,1.0,1.0,27
yersinia_enterocolitica,1.0,1.0000000000000002,1.0,1.0,31
yersinia_pestis,1.0,1.0,0.9090909090909092,0.8928053815224023,28
