species,roc_auc,pr_auc,f1,mcc,n_test
achromobacter_xylosoxidans,1.0,1.0,1.0,1.0,26
acinetobacter_baumannii,1.0,1.0,1.0,1.0,62
acinetobacter_johnsonii,1.0,1.0,1.0,1.0,35
aeromonas_hydrophila,1.0,1.0,1.0,1.0,28
aeromonas_salmonicida,1.0,1.0,1.0,1.0,42
bacillus_anthracis,0.9851851851851853,0.9547005772005771,0.9090909090909091,0.8784104611578831,37
bacillus_cereus,1.0,1.0,1.0,1.0,58
bacillus_megaterium,1.0,1.0,0.9696969696969697,0.9538364228569945,46
bacillus_pumilus,1.0,1.0,1.0,1.0,34
bacillus_subtilis,0.9891774891774892,0.9711170492406671,0.8936170212765957,0.8461141122266493,65
bacillus_thuringiensis,1.0,1.0,0.9487179487179487,0.8794993824688373,65
bacillus_weihenstephanensis,1.0,1.0,0.6,0.6078306738548308,32
bdellovibrio_bacteriovorus,1.0,1.0,1.0,1.0,21
brevibacillus_laterosporus,1.0,1.0,1.0,1.0,33
brochothrix_thermosphacta,1.0,1.0,1.0,1.0,28
burkholderia_cenocepacia,1.0,0.9999999999999999,1.0,1.0,35
burkholderia_cepacia,1.0,1.0,1.0,1.0,26
burkholderia_pseudomallei,1.0,1.0,1.0,1.0,22
burkholderia_thailandensis,1.0,1.0,1.0,1.0,24
campylobacter_jejuni,1.0,1.0,1.0,1.0,22
caulobacter_crescentus,1.0,1.0,1.0,1.0,23
cellulophaga_baltica,1.0,1.0,1.0,1.0,37
chlamydia_psittaci,1.0,1.0,1.0,1.0,28
citrobacter_freundii,1.0,1.0,0.9655172413793104,0.9480324003422907,41
clostridium_difficile,1.0,1.0,0.967741935483871,0.9409658158863513,33
clostridium_perfringens,1.0,1.0,1.0,1.0,38
clostridium_tetani,1.0,1.0,1.0,1.0,30
corynebacterium_glutamicum,1.0,1.0,0.8571428571428571,0.8461141122266493,25
corynebacterium_vitaeruminis,1.0,1.0,1.0,1.0,16
cronobacter_malonaticus,1.0,1.0,1.0,1.0,20
