species,n_test,n_pos_test,roc_auc,pr_auc,f1,mcc
achromobacter xylosoxidans,8,7,1.0,1.0,0.6,0.29277002188455997
clostridium perfringens,14,12,1.0,1.0,0.9565217391304348,0.7817359599705717
streptomyces griseus,12,11,1.0,1.0,0.625,0.2548235957188128
streptococcus salivarius,6,1,1.0,1.0,1.0,1.0
staphylococcus pseudintermedius,39,1,1.0,1.0,0.0,0.0
acinetobacter baumannii,39,35,1.0,1.0,0.9705882352941176,0.7928249671720919
shigella sonnei,17,12,1.0,0.9999999999999999,0.6666666666666666,0.4767312946227961
shewanella sp. 10n.7,26,2,1.0,1.0,0.0,0.0
rhodococcus erythropolis,6,4,1.0,1.0,0.4,0.31622776601683794
pseudomonas fluorescens,12,8,1.0,1.0,0.0,0.0
pseudomonas aeruginosa,143,129,1.0,1.0,0.832579185520362,0.4424640480361422
listeria monocytogenes,43,24,1.0,1.0,1.0,1.0
lactococcus lactis,58,53,1.0,0.9999999999999999,0.9400000000000001,0.6348917061666318
lactobacillus paracasei,8,7,1.0,1.0,1.0,1.0
lactobacillus casei,8,4,1.0,1.0,1.0,1.0
enterococcus faecium,6,4,1.0,1.0,0.4,0.31622776601683794
sinorhizobium meliloti,7,5,1.0,1.0,0.5714285714285715,0.4
brevibacillus laterosporus,8,7,1.0,1.0,1.0,1.0
burkholderia cepacia,8,7,1.0,1.0,1.0,1.0
aeromonas hydrophila,5,3,1.0,1.0,0.0,0.0
aeromonas salmonicida,13,11,1.0,1.0,0.7777777777777778,0.4605661864718383
bacillus pumilus,14,10,1.0,0.9999999999999999,0.0,0.0
clostridium difficile,18,16,1.0,1.0,1.0,1.0
enterococcus faecalis,52,33,0.9984051036682616,0.9990952303786527,0.7777777777777778,0.6245232785999225
bacillus subtilis,41,21,0.9952380952380953,0.9954596990311275,0.32,0.3208739674079263
bacillus megaterium,25,16,0.9930555555555555,0.9962086397058824,0.11764705882352941,0.15309310892394862
vibrio sp. 10n.3,107,1,0.9905660377358491,0.25,0.0,0.0
escherichia coli,248,222,0.9861399861399861,0.9984405315757776,0.9818181818181818,0.841795269404475
citrobacter freundii,19,14,0.9857142857142858,0.9950680272108843,0.0,0.0
vibrio vulnificus,97,4,0.9838709677419355,0.7535714285714286,0.4,0.4921254921257382
staphylococcus chromogenes,39,20,0.9789473684210526,0.9812179410978041,0.0,0.0
staphylococcus vitulinus,39,29,0.9724137931034482,0.990766408873333,0.0,0.0
gordonia terrae,64,63,0.9682539682539683,0.9994960312380627,0.7884615384615385,0.16821229479875446
klebsiella pneumoniae,40,30,0.9666666666666667,0.9904307028802996,0.125,0.13245323570650439
salmonella enterica,89,73,0.9648972602739725,0.9920844091820619,0.6481481481481481,0.3769083019611871
staphylococcus capitis,40,18,0.9595959595959596,0.9575751693958215,0.10526315789473684,0.17702833484793146
vibrio anguillarum,97,1,0.9583333333333334,0.1,0.0,0.0
staphylococcus auricularis,39,4,0.9571428571428571,0.65,0.0,0.0
vibrio sp. 10n.5,108,1,0.9532710280373832,0.08333333333333333,0.0,0.0
vibrio sp. 10n.2,99,3,0.9444444444444444,0.196031746031746,0.0,0.0
enterobacter cloacae,8,4,0.9375,0.94375,0.8571428571428571,0.7745966692414834
staphylococcus aureus,150,112,0.9353853383458647,0.9796161837486901,0.7126436781609196,0.4889194287325958
shigella flexneri,25,20,0.93,0.9845049877658574,0.787878787878788,0.5204164998665332
staphylococcus pasteuri,41,3,0.9298245614035088,0.37499999999999994,0.0,0.0
vibrio alginolyticus,85,4,0.9259259259259259,0.23154761904761903,0.0,0.0
staphylococcus succinus,39,19,0.9184210526315789,0.9268323261328797,0.0,0.0
staphylococcus epidermidis,59,35,0.9178571428571428,0.948387425248409,0.25,0.25197631533948484
vibrio parahaemolyticus,110,18,0.91243961352657,0.6441302950491928,0.2857142857142857,0.3785527449185361
staphylococcus equorum,39,20,0.9078947368421053,0.9314711887113898,0.0,0.0
vibrio sp. f13,93,8,0.9014705882352941,0.6194631490655963,0.0,0.0
cronobacter sakazakii,19,15,0.9,0.9764297385620915,0.33333333333333337,0.22360679774997896
serratia marcescens,7,2,0.9,0.7916666666666666,0.6666666666666666,0.6454972243679028
staphylococcus hyicus,39,6,0.898989898989899,0.5715423465423465,0.0,0.0
staphylococcus hominis,41,2,0.8974358974358975,0.5777777777777777,0.6666666666666666,0.698212002188447
pseudomonas putida,11,7,0.8928571428571428,0.9441609977324261,0.0,0.0
vibrio sp. 10n.1,91,7,0.8860544217687075,0.33219696969696966,0.0,0.0
staphylococcus cohnii,40,16,0.8411458333333334,0.7393942721449368,0.0,0.0
enterovibrio norvegicus,60,12,0.8350694444444444,0.5916144076509603,0.0,0.0
bacillus weihenstephanensis,7,3,0.8333333333333333,0.8500000000000001,0.0,0.0
rhizobium etli,5,3,0.8333333333333333,0.9027777777777777,0.0,0.0
staphylococcus pettenkoferi,39,4,0.8285714285714285,0.4843344155844156,0.0,0.0
staphylococcus lugdunensis,39,22,0.8181818181818181,0.8850603892213387,0.0,0.0
