genus,roc_auc,pr_auc,f1,mcc,n_test
acholeplasma_laidlawii,1.0,1.0,1.0,1.0,19
achromobacter_xylosoxidans,1.0,1.0,1.0,1.0,26
acinetobacter_baumannii,1.0,1.0,1.0,1.0,62
acinetobacter_johnsonii,1.0,1.0,1.0,1.0,35
acinetobacter_pittii,1.0,1.0,1.0,1.0,20
aeromonas_hydrophila,1.0,1.0,1.0,1.0,28
aeromonas_salmonicida,1.0,1.0,1.0,1.0,42
aliivibrio,1.0,1.0,0.6666666666666666,0.7046557971006435,291
bacillus_anthracis,0.9555555555555555,0.8783172383172383,0.5882352941176471,0.4829546044006792,37
bacillus_cereus,1.0,1.0,0.7894736842105263,0.7285871475307653,58
bacillus_megaterium,1.0,1.0,0.967741935483871,0.9525009525014287,46
bacillus_pumilus,1.0,1.0,0.9523809523809523,0.9333874443188751,34
bacillus_subtilis,1.0,1.0,1.0,1.0,65
bacillus_thuringiensis,1.0,1.0,1.0,1.0,65
bacillus_weihenstephanensis,1.0,1.0,0.8,0.8027729719194864,32
bacteroides_fragilis,1.0,1.0,1.0,1.0,16
bdellovibrio_bacteriovorus,1.0,1.0,1.0,1.0,21
brevibacillus_laterosporus,1.0,1.0,1.0,1.0,33
brochothrix_thermosphacta,1.0,1.0,1.0,1.0,28
brucella_abortus,0.9736842105263158,0.7916666666666666,0.8,0.7947194142390263,21
brucella_melitensis,1.0,1.0,1.0,1.0,22
burkholderia_ambifaria,1.0,1.0,1.0,1.0,23
burkholderia_cenocepacia,1.0,0.9999999999999999,1.0,1.0,35
burkholderia_cepacia,1.0,1.0,1.0,1.0,26
burkholderia_pseudomallei,1.0,1.0,1.0,1.0,22
burkholderia_thailandensis,1.0,1.0,1.0,1.0,24
campylobacter_jejuni,1.0,1.0,1.0,1.0,22
caulobacter_crescentus,1.0,1.0,1.0,1.0,23
cellulophaga_baltica,1.0,1.0,1.0,1.0,37
chlamydia_psittaci,1.0,1.0,1.0,1.0,28
citrobacter_freundii,0.9867724867724869,0.9806808688387636,0.9629629629629629,0.9462600928208407,41
citrobacter_rodentium,1.0,1.0,1.0,1.0,28
clavibacter_michiganensis,1.0,1.0,1.0,1.0,18
clostridium_difficile,1.0,1.0,1.0,1.0,33
clostridium_perfringens,1.0,1.0,1.0,1.0,38
clostridium_tetani,1.0,1.0,1.0,1.0,30
corynebacterium_glutamicum,1.0,1.0,1.0,1.0,25
corynebacterium_vitaeruminis,1.0,1.0,1.0,1.0,16
croceibacter_atlanticus,1.0,1.0,1.0,1.0,22
cronobacter_dublinensis,1.0,1.0,1.0,1.0,26
cronobacter_malonaticus,1.0,1.0,1.0,1.0,20
cronobacter_sakazakii,1.0,1.0,0.9285714285714286,0.8970852271450604,41
cronobacter_turicensis,1.0,1.0,1.0,1.0,20
dinoroseobacter_shibae,1.0,1.0,0.8,0.8017837257372732,30
edwardsiella_ictaluri,1.0,1.0,1.0,1.0,26
enterobacter_aerogenes,0.9772727272727273,0.7666666666666666,0.8888888888888888,0.8807710121010885,37
enterobacter_cloacae,0.9913793103448276,0.94375,0.8888888888888888,0.8788707488040823,33
enterococcus_faecalis,1.0,1.0,1.0,1.0,66
enterococcus_faecium,1.0,1.0,1.0,1.0,24
enterovibrio,0.922289156626506,0.7909826578904675,0.8235294117647058,0.8267583756846408,269
erwinia_amylovora,1.0,1.0,1.0,1.0,48
escherichia_coli,0.9937124624624625,0.9987343694506563,0.9863013698630136,0.9299811099505542,270
flavobacterium_columnare,1.0,1.0,1.0,1.0,16
flavobacterium_psychrophilum,1.0,1.0,1.0,1.0,40
gordonia_malaquae,1.0,1.0,1.0,1.0,34
gordonia_terrae,1.0,1.0,1.0,1.0,88
haemophilus_influenzae,1.0,1.0,1.0,1.0,22
helicobacter_pylori,1.0,1.0,1.0,1.0,25
klebsiella_oxytoca,0.9629629629629629,0.7638888888888888,0.4,0.33113308926626095,21
klebsiella_pneumoniae,1.0,0.9999999999999999,1.0,1.0,47
lactobacillus_casei,1.0,1.0,1.0,1.0,32
lactobacillus_delbrueckii,1.0,1.0,1.0,1.0,25
lactobacillus_fermentum,1.0,1.0,1.0,1.0,32
lactobacillus_gasseri,1.0,1.0,0.8571428571428571,0.848528137423857,28
lactobacillus_johnsonii,1.0,1.0,1.0,1.0,15
lactobacillus_paracasei,1.0,0.9999999999999998,1.0,1.0,23
lactobacillus_plantarum,1.0,1.0,1.0,1.0,20
lactobacillus_rhamnosus,1.0,1.0,1.0,1.0,15
lactococcus_garvieae,1.0,1.0,1.0,1.0,26
lactococcus_lactis,1.0,1.0,1.0,1.0,77
leuconostoc_mesenteroides,1.0,1.0,0.7619047619047619,0.6895828271676111,30
leuconostoc_pseudomesenteroides,1.0,1.0,1.0,1.0,27
listeria_monocytogenes,1.0,0.9999999999999999,1.0,1.0,67
mannheimia_haemolytica,1.0,1.0,1.0,1.0,33
microbacterium_foliorum,1.0,0.9999999999999998,1.0,1.0,31
mycobacterium_avium,1.0,1.0,0.6666666666666666,0.6922186552431729,25
mycobacterium_smegmatis,1.0,1.0,1.0,1.0,368
mycobacterium_tuberculosis,1.0,1.0,1.0,1.0,23
paenibacillus_larvae,1.0,0.9999999999999998,1.0,1.0,36
pantoea_agglomerans,1.0,1.0,1.0,1.0,26
pectobacterium_atrosepticum,1.0,1.0,1.0,1.0,24
pectobacterium_carotovorum,1.0,1.0,1.0,1.0,19
prochlorococcus_marinus,1.0,1.0,0.9230769230769231,0.9078412990032037,32
propionibacterium_acnes,1.0,0.9999999999999998,1.0,1.0,84
propionibacterium_freudenreichii,1.0,1.0000000000000002,1.0,1.0,36
proteus_mirabilis,0.9444444444444445,0.9355264833206012,0.9,0.8581163303210332,29
pseudoalteromonas_marina,1.0,1.0,1.0,1.0,20
pseudomonas_aeruginosa,0.9777917452336057,0.9878589184368096,0.9847328244274809,0.9300903588331573,166
pseudomonas_fluorescens,1.0,1.0,1.0,1.0,31
pseudomonas_putida,1.0,1.0,1.0,1.0,34
pseudomonas_syringae,1.0,1.0,1.0,1.0,45
pseudomonas_tolaasii,1.0,1.0,1.0,1.0,31
ralstonia_solanacearum,1.0,1.0,1.0,1.0,37
rhizobium_etli,1.0,1.0,0.8571428571428571,0.8440971508067066,23
rhizobium_leguminosarum,1.0,1.0,1.0,1.0,24
rhizobium_radiobacter,1.0,1.0,1.0,1.0,20
rhodobacter_capsulatus,1.0,1.0,1.0,1.0,24
rhodococcus_equi,1.0,1.0,1.0,1.0,27
rhodococcus_erythropolis,1.0,1.0,1.0,1.0,30
roseobacter_denitrificans,1.0,1.0,1.0,1.0,27
ruegeria_pomeroyi,1.0,1.0,1.0,1.0,20
salinibacter_ruber,1.0,1.0,1.0,1.0,23
salmonella_enterica,0.994781474233529,0.997200098458934,0.9645390070921985,0.9123652645644059,115
salmonella_enteritidis,1.0,1.0,1.0,1.0,18
salmonella_gallinarum,1.0,1.0,1.0,1.0,26
salmonella_paratyphi,1.0,1.0,0.8571428571428571,0.8451542547285166,24
salmonella_serovar,1.0,1.0,1.0,1.0,26
salmonella_typhimurium,1.0,1.0,1.0,1.0,34
serratia_marcescens,1.0,1.0,1.0,1.0,32
shewanella,0.9708030992497848,0.9135229708665705,0.8842105263157894,0.8779033408943628,912
shigella_boydii,1.0,1.0,0.8571428571428571,0.848528137423857,28
shigella_flexneri,0.9637931034482758,0.9633251268574832,0.8947368421052632,0.8314383348210862,49
shigella_sonnei,1.0,1.0,0.9090909090909091,0.8770580193070291,36
sinorhizobium_meliloti,1.0,1.0,1.0,1.0,29
sodalis_glossinidius,1.0,1.0,1.0,1.0,19
spiroplasma_citri,1.0,1.0,0.8,0.7993052538854533,26
staphylococcus_aureus,0.9935044849984535,0.9966260121752386,0.8663101604278075,0.7362160289250437,167
staphylococcus_auricularis,0.9722222222222223,0.65,0.6666666666666666,0.6436813236385829,58
staphylococcus_capitis,0.9583333333333334,0.9131318052449204,0.5,0.5063696835418333,58
staphylococcus_caprae,1.0,1.0,1.0,1.0,58
staphylococcus_chromogenes,0.9796875,0.968061827168285,0.5185185185185185,0.4988876515698588,52
staphylococcus_cohnii,0.96484375,0.9049931372423885,0.6896551724137931,0.6054055145966812,64
staphylococcus_epidermidis,0.9296703296703297,0.9219131600673748,0.4444444444444444,0.41726148019814013,74
staphylococcus_equorum,0.9833333333333334,0.9655174052159684,0.851063829787234,0.7796071282729148,59
staphylococcus_fleuretti,0.903061224489796,0.35834641548927265,0.18181818181818182,0.11507182723729041,63
staphylococcus_haemolyticus,0.9107142857142857,0.4669432419432419,0.3333333333333333,0.2619047619047619,62
staphylococcus_hominis,1.0,1.0,1.0,1.0,61
staphylococcus_hyicus,0.9346405228758169,0.5715423465423466,0.5454545454545454,0.4998868650285325,57
staphylococcus_kloosii,0.9024767801857585,0.7582348573029469,0.6666666666666666,0.6027827910808786,55
staphylococcus_lentus,0.8543478260869565,0.5148255076152969,0.42857142857142855,0.4138084800894974,56
staphylococcus_lugdunensis,0.8467532467532468,0.7306078681953188,0.24,0.2972941950052816,57
staphylococcus_pasteuri,0.96875,0.3722222222222222,0.4,0.38610688370064794,67
staphylococcus_pettenkoferi,0.861607142857143,0.474384236453202,0.5454545454545454,0.5272694681368005,60
staphylococcus_saprophyticus,0.9202898550724639,0.728021978021978,0.5,0.5651941652604391,49
staphylococcus_schleiferi,0.9062499999999999,0.8509753045236121,0.42424242424242425,0.35535714285714287,57
staphylococcus_sciuri,0.9587096774193548,0.9195556726641662,0.47058823529411764,0.3894788043496029,56
staphylococcus_succinus,0.9430719656283566,0.8426609793338242,0.8,0.7187631529067865,68
staphylococcus_vitulinus,0.966794380587484,0.9500825535586044,0.06666666666666667,0.13010726223589664,56
staphylococcus_warneri,0.8981481481481481,0.32257326007326004,0.3333333333333333,0.32146531242102483,58
staphylococcus_xylosus,0.9772727272727273,0.9539623115921582,0.84,0.7468648417873217,61
streptococcus_mutans,1.0,1.0,1.0,1.0,26
streptococcus_pyogenes,1.0,1.0,1.0,1.0,29
streptococcus_suis,1.0,1.0,1.0,1.0,35
streptococcus_thermophilus,1.0,1.0,1.0,1.0,40
streptomyces_avermitilis,1.0,1.0,1.0,1.0,23
streptomyces_coelicolor,1.0,1.0,1.0,1.0,20
streptomyces_flavovirens,1.0,1.0,1.0,1.0,19
streptomyces_griseus,1.0,1.0,1.0,1.0,41
streptomyces_lividans,1.0,0.9999999999999998,0.9333333333333333,0.903696114115064,22
streptomyces_venezuelae,1.0,1.0,1.0,1.0,23
streptomyces_viridochromogenes,1.0,1.0,1.0,1.0,18
thermus_thermophilus,1.0,1.0,0.8888888888888888,0.8763560920082657,29
tsukamurella_paurometabola,1.0,1.0,1.0,1.0,18
vibrio,0.8045265075234833,0.442444934501161,0.5311948204826369,0.41728339195000375,8221
vibrio_alginolyticus,1.0,1.0,1.0,1.0,21
vibrio_cholerae,1.0,0.9999999999999998,1.0,1.0,45
vibrio_harveyi,1.0,1.0,1.0,1.0,29
vibrio_natriegens,1.0,1.0,1.0,1.0,27
vibrio_parahaemolyticus,0.9932659932659933,0.9868595440125368,0.972972972972973,0.958467676597046,51
vibrio_splendidus,1.0,1.0,1.0,1.0,26
vibrio_vulnificus,1.0,1.0,1.0,1.0,21
xanthomonas_arboricola,0.9545454545454546,0.41666666666666663,0.8,0.7977240352174656,24
xanthomonas_campestris,1.0,1.0,1.0,1.0,25
xanthomonas_citri,1.0,1.0,1.0,1.0,15
xanthomonas_oryzae,1.0,1.0,1.0,1.0,27
xylella_fastidiosa,1.0,1.0,1.0,1.0,27
yersinia_enterocolitica,1.0,1.0000000000000002,1.0,1.0,31
yersinia_pestis,1.0,1.0,0.9230769230769231,0.9045340337332909,28
