species,roc_auc,pr_auc,f1,mcc,n_test
achromobacter_xylosoxidans,1.0,1.0,0.9333333333333332,0.910465468000326,26
acinetobacter_baumannii,1.0,1.0,0.9859154929577464,0.967581516860232,62
acinetobacter_johnsonii,0.9895833333333334,0.9027777777777776,0.8571428571428571,0.8523863560616161,35
aeromonas_hydrophila,1.0,1.0,1.0,1.0,28
aeromonas_salmonicida,1.0,1.0,0.9565217391304348,0.94185814971977,42
bacillus_anthracis,1.0,1.0,1.0,1.0,37
bacillus_cereus,0.9975155279503104,0.9962157014378186,0.85,0.794333056911411,58
bacillus_megaterium,1.0,1.0,0.967741935483871,0.9525009525014289,46
bacillus_pumilus,0.9625,0.8275577200577201,0.9523809523809524,0.9333874443188752,34
bacillus_subtilis,1.0,1.0,1.0,1.0,65
bacillus_thuringiensis,1.0,1.0,0.9487179487179488,0.8794993824688373,65
bacillus_weihenstephanensis,1.0,1.0,0.8,0.8027729719194864,32
bdellovibrio_bacteriovorus,1.0,1.0,1.0,1.0,21
brevibacillus_laterosporus,1.0,1.0,1.0,1.0,33
brochothrix_thermosphacta,1.0,1.0,1.0,1.0,28
burkholderia_cenocepacia,1.0,1.0,1.0,1.0,35
burkholderia_cepacia,1.0,1.0,1.0,1.0,26
burkholderia_pseudomallei,1.0,1.0,1.0,1.0,22
burkholderia_thailandensis,1.0,1.0,1.0,1.0,24
campylobacter_jejuni,1.0,1.0,1.0,1.0,22
caulobacter_crescentus,1.0,1.0,1.0,1.0,23
cellulophaga_baltica,1.0,1.0,1.0,1.0,37
chlamydia_psittaci,1.0,1.0,1.0,1.0,28
citrobacter_freundii,0.9973544973544974,0.9950680272108844,0.9629629629629628,0.9462600928208408,41
clostridium_difficile,1.0,1.0,1.0,1.0,33
clostridium_perfringens,1.0,1.0,1.0,1.0,38
clostridium_tetani,1.0,1.0,1.0,1.0,30
corynebacterium_glutamicum,1.0,1.0,1.0,1.0,25
corynebacterium_vitaeruminis,1.0,1.0,1.0,1.0,16
cronobacter_malonaticus,1.0,1.0,0.8571428571428571,0.8401680504168059,20
cronobacter_sakazakii,0.9794871794871796,0.9707623839009288,0.9285714285714286,0.8970852271450604,41
edwardsiella_ictaluri,1.0,1.0,1.0,1.0,26
enterobacter_aerogenes,1.0,1.0,1.0,1.0,37
enterobacter_cloacae,0.9655172413793104,0.5791666666666666,0.8888888888888888,0.8788707488040823,33
enterococcus_faecalis,1.0,1.0,1.0,1.0,66
enterococcus_faecium,1.0,1.0,1.0,1.0,24
enterovibrio norvegicus,0.9664658634538152,0.8606471616938136,0.75,0.7624453798131664,269
erwinia_amylovora,1.0,1.0,1.0,1.0,48
escherichia_coli,0.9966216216216216,0.9992929741594774,0.9863013698630136,0.9299811099505542,270
flavobacterium_psychrophilum,1.0,1.0,1.0,1.0,40
gordonia_malaquae,1.0,1.0,1.0,1.0,34
gordonia_terrae,1.0,1.0,1.0,1.0,88
helicobacter_pylori,1.0,1.0,1.0,1.0,25
klebsiella_oxytoca,0.9629629629629628,0.7638888888888888,0.5,0.5477225575051662,21
klebsiella_pneumoniae,1.0,1.0,1.0,1.0,47
lactobacillus_casei,1.0,1.0,1.0,1.0,32
lactobacillus_delbrueckii,1.0,1.0,1.0,1.0,25
lactobacillus_fermentum,1.0,1.0,1.0,1.0,32
lactobacillus_gasseri,1.0,1.0,0.8571428571428571,0.848528137423857,28
lactobacillus_johnsonii,1.0,1.0,1.0,1.0,15
lactobacillus_paracasei,1.0,0.9999999999999998,1.0,1.0,23
lactobacillus_plantarum,1.0,1.0,1.0,1.0,20
lactococcus_garvieae,1.0,1.0,0.8571428571428571,0.8469895538599198,26
lactococcus_lactis,1.0,1.0,1.0,1.0,77
leuconostoc_mesenteroides,0.8011363636363636,0.5156215312465313,0.7619047619047619,0.6895828271676111,30
leuconostoc_pseudomesenteroides,0.8363636363636363,0.3646031746031746,0.7142857142857143,0.6741998624632421,27
listeria_monocytogenes,1.0,1.0,1.0,1.0,67
mannheimia_haemolytica,1.0,1.0,1.0,1.0,33
microbacterium_foliorum,1.0,0.9999999999999998,1.0,1.0,31
mycobacterium_smegmatis,1.0,1.0,1.0,1.0,368
mycobacterium_tuberculosis,1.0,1.0,1.0,1.0,23
paenibacillus_larvae,1.0,0.9999999999999998,1.0,1.0,36
pantoea_agglomerans,1.0,1.0,1.0,1.0,26
pectobacterium_atrosepticum,1.0,1.0,1.0,1.0,24
pectobacterium_carotovorum,1.0,1.0,1.0,1.0,19
prochlorococcus_marinus,1.0,1.0,1.0,1.0,32
propionibacterium_acnes,1.0,0.9999999999999998,1.0,1.0,84
propionibacterium_freudenreichii,1.0,1.0000000000000002,1.0,1.0,36
proteus_mirabilis,0.9242424242424244,0.922056282640648,0.9,0.8581163303210332,29
pseudoalteromonas_marina,1.0,1.0,1.0,1.0,20
pseudomonas_aeruginosa,1.0,1.0,1.0,1.0,166
pseudomonas_fluorescens,1.0,1.0,1.0,1.0,31
pseudomonas_putida,1.0,1.0,1.0,1.0,34
pseudomonas_syringae,1.0,1.0,1.0,1.0,45
ralstonia_solanacearum,1.0,1.0,1.0,1.0,37
rhizobium_etli,1.0,1.0,1.0,1.0,23
rhizobium_leguminosarum,1.0,1.0,1.0,1.0,24
rhodobacter_capsulatus,1.0,1.0,1.0,1.0,24
rhodococcus_equi,1.0,1.0,1.0,1.0,27
rhodococcus_erythropolis,1.0,1.0,1.0,1.0,30
