phage,status,source,seq_len
812 (nc_029080; tax:307898; her:475),not_found,none,0
ab002632,not_found,none,0
ab008550,not_found,none,0
ab009866,not_found,none,0
ab012573,not_found,none,0
ab012574,not_found,none,0
ab043678,not_found,none,0
ab043679,not_found,none,0
ab044554,not_found,none,0
ab063393,not_found,none,0
ab091475,not_found,none,0
ab102868,not_found,none,0
ab255436,not_found,none,0
ab285204,not_found,none,0
ab362338,not_found,none,0
ab370205,not_found,none,0
ab370268,not_found,none,0
ab426868,not_found,none,0
ab451219,not_found,none,0
ab560486,not_found,none,0
ab572858,not_found,none,0
ab597179,not_found,none,0
ab609718,not_found,none,0
ab626962,not_found,none,0
ab626963,not_found,none,0
ab647160,not_found,none,0
ab711120,not_found,none,0
ab712291,not_found,none,0
ab720063,not_found,none,0
ab720064,not_found,none,0
ab731695,not_found,none,0
ab828698,not_found,none,0
ab830321,not_found,none,0
ab854109,not_found,none,0
ab863625,not_found,none,0
ab903967,not_found,none,0
ab910392,not_found,none,0
ab910393,not_found,none,0
ab910602,not_found,none,0
ab920995,not_found,none,0
ab931172,not_found,none,0
ab937974,not_found,none,0
ab971354,not_found,none,0
ab981169,not_found,none,0
ab981170,not_found,none,0
ae002163,not_found,none,0
af063097,not_found,none,0
af065411,not_found,none,0
af074945,not_found,none,0
af125163,not_found,none,0
af165214,not_found,none,0
af176027,not_found,none,0
af176028,not_found,none,0
af176029,not_found,none,0
af176030,not_found,none,0
af176031,not_found,none,0
af176032,not_found,none,0
af176033,not_found,none,0
af189021,not_found,none,0
af195902,not_found,none,0
af222060,not_found,none,0
af232233,not_found,none,0
af242738,not_found,none,0
af246223,not_found,none,0
af306496,not_found,none,0
af319619,not_found,none,0
af323668,not_found,none,0
af323669,not_found,none,0
af323670,not_found,none,0
af323671,not_found,none,0
af323672,not_found,none,0
af323673,not_found,none,0
af334111,not_found,none,0
af335538,not_found,none,0
af338467,not_found,none,0
af396866,not_found,none,0
af416590,not_found,none,0
af424781,not_found,none,0
af424782,not_found,none,0
af424783,not_found,none,0
af432870,not_found,none,0
af448724,not_found,none,0
af452449,not_found,none,0
af453500,not_found,none,0
af493143,not_found,none,0
af527608,not_found,none,0
af547987,not_found,none,0
aj131519,not_found,none,0
aj242593,not_found,none,0
aj251789,not_found,none,0
aj251805,not_found,none,0
aj278322,not_found,none,0
aj298298,not_found,none,0
aj312240,not_found,none,0
aj344259,not_found,none,0
aj414696,not_found,none,0
aj536073,not_found,none,0
aj550635,not_found,none,0
aj556162,not_found,none,0
aj560763,not_found,none,0
aj564013,not_found,none,0
aj567472,not_found,none,0
aj609634,not_found,none,0
aj630128,not_found,none,0
aj697969,not_found,none,0
aj748296,not_found,none,0
aj783769,not_found,none,0
aj842011,not_found,none,0
aj854042,not_found,none,0
aj972879,not_found,none,0
am040673,not_found,none,0
am156909,not_found,none,0
am183667,not_found,none,0
am265638,not_found,none,0
am265639,not_found,none,0
am491472,not_found,none,0
am749441,not_found,none,0
am910650,not_found,none,0
am910651,not_found,none,0
ap000363,not_found,none,0
ap001553,not_found,none,0
ap005153,not_found,none,0
ap005154,not_found,none,0
ap008953,not_found,none,0
ap008954,not_found,none,0
ap008983,not_found,none,0
ap009146,not_found,none,0
ap009363,not_found,none,0
ap009390,not_found,none,0
ap009624,not_found,none,0
ap011113,not_found,none,0
ap011616,not_found,none,0
ap011617,not_found,none,0
ap013029,not_found,none,0
ap013057,not_found,none,0
ay007505,not_found,none,0
ay055382,not_found,none,0
ay082070,not_found,none,0
ay095314,not_found,none,0
ay150271,not_found,none,0
ay212251,not_found,none,0
ay266303,not_found,none,0
ay320035,not_found,none,0
ay374414,not_found,none,0
ay375531,not_found,none,0
ay388628,not_found,none,0
ay394005,not_found,none,0
ay453853,not_found,none,0
ay510084,not_found,none,0
ay569307,not_found,none,0
ay605066,not_found,none,0
ay699705,not_found,none,0
ay730274,not_found,none,0
ay739900,not_found,none,0
ay769964,not_found,none,0
ay772740,not_found,none,0
ay939844,not_found,none,0
ay940168,not_found,none,0
ay950802,not_found,none,0
ay954948,not_found,none,0
ay962392,not_found,none,0
bk000583,not_found,none,0
cp000315,not_found,none,0
cp000622,not_found,none,0
cp000623,not_found,none,0
cp000624,not_found,none,0
cp000625,not_found,none,0
cp000711,not_found,none,0
cp000917,not_found,none,0
cp002495,not_found,none,0
cp002889,not_found,none,0
cp003186,not_found,none,0
cp004084,not_found,none,0
cp008753,not_found,none,0
cu468217,not_found,none,0
dq003637,not_found,none,0
dq003638,not_found,none,0
dq003639,not_found,none,0
dq003640,not_found,none,0
dq003641,not_found,none,0
dq003642,not_found,none,0
dq004855,not_found,none,0
dq079870,not_found,none,0
dq079871,not_found,none,0
dq079872,not_found,none,0
dq079874,not_found,none,0
dq079875,not_found,none,0
dq079876,not_found,none,0
dq079877,not_found,none,0
dq079878,not_found,none,0
dq079879,not_found,none,0
dq079880,not_found,none,0
dq079881,not_found,none,0
dq079882,not_found,none,0
dq079883,not_found,none,0
dq079884,not_found,none,0
dq079885,not_found,none,0
dq079886,not_found,none,0
dq079887,not_found,none,0
dq079888,not_found,none,0
dq079889,not_found,none,0
dq079890,not_found,none,0
dq079891,not_found,none,0
dq079892,not_found,none,0
dq079893,not_found,none,0
dq079894,not_found,none,0
dq079895,not_found,none,0
dq079896,not_found,none,0
dq079897,not_found,none,0
dq079898,not_found,none,0
dq079899,not_found,none,0
dq079900,not_found,none,0
dq079901,not_found,none,0
dq079902,not_found,none,0
dq079903,not_found,none,0
dq079904,not_found,none,0
dq079905,not_found,none,0
dq079906,not_found,none,0
dq079907,not_found,none,0
dq079909,not_found,none,0
dq113772,not_found,none,0
dq114220,not_found,none,0
dq123818,not_found,none,0
dq126339,not_found,none,0
dq150593,not_found,none,0
dq221100,not_found,none,0
dq222851,not_found,none,0
dq222853,not_found,none,0
dq222855,not_found,none,0
dq289555,not_found,none,0
dq289556,not_found,none,0
dq320509,not_found,none,0
dq340064,not_found,none,0
dq372923,not_found,none,0
dq386162,not_found,none,0
dq394806,not_found,none,0
dq394807,not_found,none,0
dq394808,not_found,none,0
dq394809,not_found,none,0
dq426904,not_found,none,0
dq426905,not_found,none,0
dq453159,not_found,none,0
dq490056,not_found,none,0
dq517338,not_found,none,0
dq530360,not_found,none,0
dq530362,not_found,none,0
dq674738,not_found,none,0
dq777876,not_found,none,0
dq785801,not_found,none,0
dq832317,not_found,none,0
dq838728,not_found,none,0
dq840344,not_found,none,0
dq873690,not_found,none,0
ef056009,not_found,none,0
ef057797,not_found,none,0
ef071488,not_found,none,0
ef116926,not_found,none,0
ef136587,not_found,none,0
ef136588,not_found,none,0
ef136589,not_found,none,0
ef207558,not_found,none,0
ef372997,not_found,none,0
ef380009,not_found,none,0
ef380010,not_found,none,0
ef380011,not_found,none,0
ef380012,not_found,none,0
ef380013,not_found,none,0
ef380014,not_found,none,0
ef380015,not_found,none,0
ef380016,not_found,none,0
ef380017,not_found,none,0
ef380018,not_found,none,0
ef380019,not_found,none,0
ef380020,not_found,none,0
ef380021,not_found,none,0
ef380022,not_found,none,0
ef380023,not_found,none,0
ef380024,not_found,none,0
ef380025,not_found,none,0
ef380026,not_found,none,0
ef380027,not_found,none,0
ef380028,not_found,none,0
ef380029,not_found,none,0
ef380030,not_found,none,0
ef380031,not_found,none,0
ef380032,not_found,none,0
ef432053,not_found,none,0
ef437941,not_found,none,0
ef455602,not_found,none,0
ef523948,not_found,none,0
ef529515,not_found,none,0
ef536069,not_found,none,0
ef537008,not_found,none,0
ef579802,not_found,none,0
ef583821,not_found,none,0
ef602154,not_found,none,0
eu030938,not_found,none,0
eu030939,not_found,none,0
eu056923,not_found,none,0
eu078592,not_found,none,0
eu081845,not_found,none,0
eu100883,not_found,none,0
eu100884,not_found,none,0
eu124666,not_found,none,0
eu136189,not_found,none,0
eu203571,not_found,none,0
eu246945,not_found,none,0
eu272036,not_found,none,0
eu272037,not_found,none,0
eu311208,not_found,none,0
eu330206,not_found,none,0
eu340421,not_found,none,0
eu408779,not_found,none,0
eu409559,not_found,none,0
eu418428,not_found,none,0
eu438902,not_found,none,0
eu545650,not_found,none,0
eu570103,not_found,none,0
eu588980,not_found,none,0
eu652770,not_found,none,0
eu716414,not_found,none,0
eu717894,not_found,none,0
eu719189,not_found,none,0
eu734170,not_found,none,0
eu734171,not_found,none,0
eu734172,not_found,none,0
eu734173,not_found,none,0
eu734174,not_found,none,0
eu771092,not_found,none,0
eu794049,not_found,none,0
eu826470,not_found,none,0
eu855793,not_found,none,0
eu861004,not_found,none,0
eu861005,not_found,none,0
eu863408,not_found,none,0
eu863409,not_found,none,0
eu871039,not_found,none,0
eu874396,not_found,none,0
eu876853,not_found,none,0
eu877232,not_found,none,0
fj000341,not_found,none,0
fj008913,not_found,none,0
fj168659,not_found,none,0
fj168660,not_found,none,0
fj168661,not_found,none,0
fj168662,not_found,none,0
fj174690,not_found,none,0
fj174691,not_found,none,0
fj174692,not_found,none,0
fj174693,not_found,none,0
fj174694,not_found,none,0
fj226752,not_found,none,0
fj230960,not_found,none,0
fj236310,not_found,none,0
fj373894,not_found,none,0
fj429185,not_found,none,0
fj483837,not_found,none,0
fj483838,not_found,none,0
fj483839,not_found,none,0
fj483840,not_found,none,0
fj483841,not_found,none,0
fj483842,not_found,none,0
fj483843,not_found,none,0
fj483844,not_found,none,0
fj539132,not_found,none,0
fj539133,not_found,none,0
fj539134,not_found,none,0
fj539135,not_found,none,0
fj591093,not_found,none,0
fj591094,not_found,none,0
fj608823,not_found,none,0
fj608824,not_found,none,0
fj608825,not_found,none,0
fj641182,not_found,none,0
fj685651,not_found,none,0
fj713816,not_found,none,0
fj750948,not_found,none,0
fj792813,not_found,none,0
fj848881,not_found,none,0
fj848882,not_found,none,0
fj848883,not_found,none,0
fj848884,not_found,none,0
fj848885,not_found,none,0
fj849058,not_found,none,0
fj870915,not_found,none,0
fj870916,not_found,none,0
fj870917,not_found,none,0
fj896200,not_found,none,0
fj904927,not_found,none,0
fj937737,not_found,none,0
fj965538,not_found,none,0
fj973624,not_found,none,0
fj982340,not_found,none,0
fm163528,not_found,none,0
fm180578,not_found,none,0
fm201281,not_found,none,0
fm201282,not_found,none,0
fm887021,not_found,none,0
fn263372,not_found,none,0
fn297812,not_found,none,0
fn391954,not_found,none,0
fn422398,not_found,none,0
fn422399,not_found,none,0
fn594518,not_found,none,0
fq312032,not_found,none,0
fr667955,not_found,none,0
fr687252,not_found,none,0
fr751545,not_found,none,0
fr775895,not_found,none,0
fr823450,not_found,none,0
fr852584,not_found,none,0
gq149088,not_found,none,0
gq241246,not_found,none,0
gq303259,not_found,none,0
gq303260,not_found,none,0
gq303261,not_found,none,0
gq303262,not_found,none,0
gq303263,not_found,none,0
gq303264,not_found,none,0
gq303265,not_found,none,0
gq303266,not_found,none,0
gq334450,not_found,none,0
gq357915,not_found,none,0
gq357916,not_found,none,0
gq379227,not_found,none,0
gq398772,not_found,none,0
gq403788,not_found,none,0
gq403789,not_found,none,0
gq413937,not_found,none,0
gq413938,not_found,none,0
gq421471,not_found,none,0
gq443085,not_found,none,0
gq451696,not_found,none,0
gq452243,not_found,none,0
gq468526,not_found,none,0
gq478081,not_found,none,0
gq478082,not_found,none,0
gq478083,not_found,none,0
gq478084,not_found,none,0
gq478085,not_found,none,0
gq478086,not_found,none,0
gq478087,not_found,none,0
gq478088,not_found,none,0
gq502199,not_found,none,0
gq866233,not_found,none,0
gq979703,not_found,none,0
gq981382,not_found,none,0
gu060500,not_found,none,0
gu070616,not_found,none,0
gu071094,not_found,none,0
gu071095,not_found,none,0
gu071096,not_found,none,0
gu071097,not_found,none,0
gu071098,not_found,none,0
gu071099,not_found,none,0
gu071100,not_found,none,0
gu071101,not_found,none,0
gu071102,not_found,none,0
gu071103,not_found,none,0
gu071104,not_found,none,0
gu071105,not_found,none,0
gu071106,not_found,none,0
gu071107,not_found,none,0
gu071108,not_found,none,0
gu075905,not_found,none,0
gu080336,not_found,none,0
gu169904,not_found,none,0
gu196277,not_found,none,0
gu196278,not_found,none,0
gu196279,not_found,none,0
gu196280,not_found,none,0
gu196281,not_found,none,0
gu229986,not_found,none,0
gu247132,not_found,none,0
gu247133,not_found,none,0
gu247134,not_found,none,0
gu295964,not_found,none,0
gu296433,not_found,none,0
gu321093,not_found,none,0
gu323318,not_found,none,0
gu323708,not_found,none,0
gu339467,not_found,none,0
gu385905,not_found,none,0
