,phage,host,label,source,k3dist,k6dist,GCdiff,Homology,genus,gram_pos,aerobic,anaerobic,facultative,coccus,bacillus,spiral,motile,phylum_firmicutes,phylum_proteobacteria,phylum_actinobacteria,phylum_bacteroidetes,phylum_cyanobacteria,phylum_chlamydiae
0,nc 001341,acholeplasma laidlawii,1,vhi,0.344440390675966,0.433348834188072,1.36741051915494,0.0,acholeplasma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,nc 001447,acholeplasma laidlawii,1,vhi,0.106023672272109,0.266705794458242,0.0384936893491563,1.0,acholeplasma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,nc 023556,achromobacter xylosoxidans,1,vhi,0.226548336660428,0.255492825791899,-13.0005628911573,0.0,achromobacter,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,nc 028695,achromobacter xylosoxidans,0,vhi,0.141244226719774,0.253148826469314,-15.4409960445365,0.0,achromobacter,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,nc 028768,achromobacter xylosoxidans,1,vhi,0.125959282498722,0.228684566861744,-12.0000770711631,1.0,achromobacter,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5,nc 028834,achromobacter xylosoxidans,1,vhi,0.132814746357721,0.232118000114824,-12.559878438118,1.0,achromobacter,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
6,nc 028908,achromobacter xylosoxidans,1,vhi,0.254026053926396,0.265159367972974,-12.2108421669066,0.0,achromobacter,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7,nc 029033,achromobacter xylosoxidans,1,vhi,0.161957944013503,0.232941041710586,-11.3957231973077,0.0,achromobacter,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8,nc 029075,achromobacter xylosoxidans,1,vhi,0.106611902971664,0.138790094527885,-7.27519444941358,0.0,achromobacter,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9,nc 029106,achromobacter xylosoxidans,1,vhi,0.0568492988540703,0.115979875461305,-7.30214239688022,1.0,achromobacter,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
10,nc 041997,acidovorax citrulli,1,vhi,0.16025994462971,0.198689156484466,-10.1636974368231,0.0,acidovorax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,nc 017984,acinetobacter baumannii,1,vhi,0.0656880775772082,0.171666377790391,-1.21938606679144,1.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,nc 018087,acinetobacter baumannii,1,vhi,0.0685898825600745,0.149532075592853,-4.55391720212496,1.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,nc 019541,acinetobacter baumannii,1,vhi,0.0351933828579369,0.125516944167776,0.090274234912286,1.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,nc 021316,acinetobacter baumannii,1,vhi,0.455524760208833,0.404432477267731,0.188637789193251,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,nc 023570,acinetobacter baumannii,1,vhi,0.423393163244565,0.389468482709279,3.22290133007166,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
